Date;Station1_CO;Station1_NO2;Station1_NOx;Station1_PM10;Station1_SO2;Station2_CO;Station2_NO2;Station2_NOx;Station2_O3;Station2_PM10;Station2_PM2.5;Station2_SO2;Station2_NO
2014-01-01 00:00:00;1057.0;31,3;67,6;56,0;;1121;19,9;27,5;9,3;42,0;;8,5;
2014-01-02 00:00:00;1030.0;37,0;89,1;60,0;;1212;25,9;44,4;9,9;52,0;;13,5;
2014-01-03 00:00:00;1319.0;49,1;196,1;69,0;;1292;26,3;60,5;7,5;56,0;;12,6;
2014-01-04 00:00:00;1001.0;36,9;94,8;46,0;;952;21,6;27,3;7,6;35,0;;14,7;
2014-01-05 00:00:00;1155.0;37,3;102,6;39,0;;1001;23,4;36,6;12,5;28,0;;12,0;
2014-01-06 00:00:00;1624.0;49,6;204,2;65,0;;1153;25,6;97,0;6,6;42,0;;11,6;
2014-01-07 00:00:00;1005.0;31,9;103,8;38,0;;775;18,1;25,8;4,9;27,0;;7,5;
2014-01-08 00:00:00;939.0;28,0;84,2;27,0;;740;14,7;23,5;;21,0;;;
2014-01-09 00:00:00;708.0;29,8;80,1;23,0;;776;13,8;18,1;;19,0;;;
2014-01-10 00:00:00;430.0;29,4;85,0;17,0;;767;12,9;17,6;;15,0;;;
2014-01-11 00:00:00;714.0;45,2;143,8;32,0;;1238;26,3;49,7;;39,0;;;
2014-01-12 00:00:00;304.0;17,8;30,7;17,0;;686;11,3;14,8;;12,0;;;
2014-01-13 00:00:00;1266.0;54,9;237,6;67,0;;1427;27,7;73,3;;49,0;;;
2014-01-14 00:00:00;675.0;39,7;100,1;46,0;;1091;27,5;35,3;;33,0;;;
2014-01-15 00:00:00;704.0;40,1;132,0;36,0;;1001;24,9;39,5;;29,0;;;
2014-01-16 00:00:00;781.0;36,8;126,2;38,0;;1051;22,8;38,2;;27,0;;;
2014-01-17 00:00:00;624.0;41,3;117,5;31,0;;893;15,5;20,0;;18,0;;;
2014-01-18 00:00:00;718.0;44,6;113,7;29,0;8,9;1147;23,9;31,1;;27,0;;;
2014-01-19 00:00:00;595.0;;;25,0;9,0;990;16,8;19,4;;21,0;;;
2014-01-20 00:00:00;619.0;;;24,0;5,7;914;18,8;22,0;;17,0;;;
2014-01-21 00:00:00;1033.0;;;42,0;6,4;1211;37,1;58,2;;32,0;;;
2014-01-22 00:00:00;685.0;;;19,0;9,3;945;22,7;38,9;;16,0;;;
2014-01-23 00:00:00;;;;31,0;10,8;902;25,5;34,7;;25,0;;;
2014-01-24 00:00:00;;;;39,0;6,3;817;26,5;43,2;;31,0;;;
2014-01-25 00:00:00;289.0;;;27,0;7,1;553;21,7;30,8;;29,0;;9,3;
2014-01-26 00:00:00;475.0;;;43,0;7,7;874;27,2;31,5;;39,0;;9,5;
2014-01-27 00:00:00;733.0;;;68,0;9,0;1060;39,1;47,1;;59,0;;11,3;
2014-01-28 00:00:00;889.0;;;85,0;11,4;1103;27,7;32,0;;69,0;;14,4;
2014-01-29 00:00:00;929.0;;;82,0;7,4;1248;35,4;42,9;;72,0;;9,4;
2014-01-30 00:00:00;893.0;;;67,0;9,0;1105;35,4;43,9;;51,0;;10,3;
2014-01-31 00:00:00;1139.0;;;66,0;5,8;1311;63,1;101,6;;57,0;;6,5;
2014-02-01 00:00:00;1400.0;;;117,0;8,2;1668;61,4;79,8;;96,0;;8,2;
2014-02-02 00:00:00;2261.0;;;140,0;6,4;2121;72,0;109,8;;111,0;;8,0;
2014-02-03 00:00:00;3453.0;;;248,0;7,4;3022;94,6;226,8;;186,0;;7,0;
2014-02-04 00:00:00;1814.0;;;125,0;7,7;2096;58,3;112,2;;121,0;;7,5;
2014-02-05 00:00:00;1699.0;;;128,0;8,7;1865;79,4;110,4;;110,0;;10,3;
2014-02-06 00:00:00;1412.0;;;91,0;;1208;50,1;64,4;;65,0;;14,2;
2014-02-07 00:00:00;959.0;;;62,0;;700;29,9;35,7;45,1;38,0;;19,4;
2014-02-08 00:00:00;938.0;45,4;101,4;45,0;;640;25,9;31,5;34,8;31,0;;11,3;
2014-02-09 00:00:00;888.0;36,4;81,8;33,0;;546;22,8;28,3;43,2;21,0;;11,6;
2014-02-10 00:00:00;620.0;31,4;67,6;18,0;;269;12,5;14,8;55,4;7,0;;3,8;
2014-02-11 00:00:00;801.0;39,6;83,0;28,0;;389;28,1;37,3;34,9;18,0;;6,1;
2014-02-12 00:00:00;997.0;41,1;119,5;55,0;;621;35,6;59,7;25,8;38,0;;5,6;
