Date;Station1_CO;Station1_NO;Station1_NO2;Station1_NOx;Station1_PM10;Station1_SO2;Station2_CO;Station2_NO;Station2_NO2;Station2_NOx;Station2_O3;Station2_PM10;Station2_SO2
2025-01-01 00:00:00;;8,7;15,9;29,3;20,0;;735;0,6;9,2;10,0;38,7;33,0;5,1
2025-01-02 00:00:00;;16,9;23,9;49,8;22,0;;792;0,7;9,7;10,8;42,3;26,0;6,0
2025-01-03 00:00:00;;10,9;19,1;35,9;13,0;;703;1,2;14,5;16,0;39,4;23,0;4,8
2025-01-04 00:00:00;;20,5;26,7;58,2;14,0;;626;3,3;17,5;22,1;40,6;17,0;4,7
2025-01-05 00:00:00;;5,9;15,8;24,9;12,0;;624;1,3;11,2;13,1;49,6;15,0;4,7
2025-01-06 00:00:00;;16,7;23,4;49,0;14,0;;611;;8,0;7,9;59,7;7,0;5,3
2025-01-07 00:00:00;;21,0;26,2;58,4;13,0;;694;;12,3;12,9;45,9;10,0;5,1
2025-01-08 00:00:00;;22,5;30,8;65,4;10,0;;696;;11,2;12,4;45,3;12,0;4,6
2025-01-09 00:00:00;;16,0;23,8;48,3;16,0;;688;;9,8;10,1;53,3;18,0;5,0
2025-01-10 00:00:00;;18,0;25,9;53,5;10,0;;674;1,8;15,8;17,9;44,3;14,0;4,7
2025-01-11 00:00:00;;15,2;20,4;43,8;8,0;;639;0,8;8,7;9,8;46,9;12,0;4,5
2025-01-12 00:00:00;;14,2;21,0;42,8;12,0;;665;0,8;9,6;10,7;37,0;14,0;4,5
2025-01-13 00:00:00;;8,7;16,2;29,5;10,0;;661;2,9;15,8;20,2;29,3;14,0;4,5
2025-01-14 00:00:00;;73,3;36,7;149,1;28,0;;928;45,8;29,0;99,2;16,4;29,0;5,7
2025-01-15 00:00:00;;28,8;28,4;72,5;27,0;;470;3,2;19,2;24,2;16,6;40,0;5,2
2025-01-16 00:00:00;;29,5;26,5;71,7;28,0;;470;3,4;17,7;22,9;22,0;42,0;5,1
2025-01-17 00:00:00;;35,4;28,2;82,6;29,0;;412;1,7;15,7;18,3;24,0;44,0;5,0
2025-01-18 00:00:00;;13,7;22,1;43,1;22,0;;395;1,2;18,6;20,4;19,8;36,0;5,0
2025-01-19 00:00:00;;6,3;12,6;22,2;14,0;;471;1,2;14,1;15,9;28,7;27,0;5,0
2025-01-20 00:00:00;;19,3;19,8;49,4;18,0;;443;0,9;13,5;14,7;29,1;23,0;4,9
2025-01-21 00:00:00;;17,7;19,0;46,2;21,0;;561;3,6;17,9;23,4;15,6;32,0;4,9
2025-01-22 00:00:00;;39,1;21,6;81,5;22,0;;529;2,3;13,4;16,9;13,4;34,0;4,9
2025-01-23 00:00:00;;26,1;26,8;66,8;22,0;;556;;17,0;20,9;30,5;33,0;6,0
2025-01-24 00:00:00;;41,5;27,3;90,9;23,0;;721;9,9;20,7;35,2;10,8;31,0;5,4
2025-01-25 00:00:00;;15,9;20,2;44,5;21,0;;662;4,2;16,7;23,1;26,1;35,0;5,3
2025-01-26 00:00:00;;18,5;28,2;56,6;19,0;;540;2,0;19,1;22,1;34,7;14,0;5,5
2025-01-27 00:00:00;;18,4;27,4;55,6;21,0;;439;1,1;14,2;15,5;45,8;;7,0
2025-01-28 00:00:00;;14,3;26,1;48,0;22,0;;389;;12,6;13,2;56,7;17,0;6,9
2025-01-29 00:00:00;;31,5;37,6;85,8;21,0;;548;4,8;18,5;23,9;39,9;23,0;5,4
2025-01-30 00:00:00;;27,6;43,6;85,9;37,0;;866;20,1;41,4;72,3;19,4;41,0;5,6
2025-01-31 00:00:00;;42,6;38,7;104,0;27,0;;707;5,1;23,2;31,0;18,4;47,0;5,3
