Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;85;;50;125
"2018-01-01 00:00:00";471;31,2;66,9;24;7,1
"2018-01-02 00:00:00";522;21,8;38,4;31;2,6
"2018-01-03 00:00:00";367;30,3;89,0;15;2,7
"2018-01-04 00:00:00";574;46,6;158,1;21;2,9
"2018-01-05 00:00:00";405;38,4;93,2;17;4,2
"2018-01-06 00:00:00";432;38,4;83,8;17;8,4
"2018-01-07 00:00:00";599;35,3;77,5;31;7,4
"2018-01-08 00:00:00";490;21,4;48,4;24;2,4
"2018-01-09 00:00:00";698;31,6;90,6;31;3,0
"2018-01-10 00:00:00";919;39,6;117,9;49;3,6
"2018-01-11 00:00:00";608;34,0;101,3;38;5,0
"2018-01-12 00:00:00";503;21,2;46,9;34;2,9
"2018-01-13 00:00:00";384;19,9;41,2;12;1,8
"2018-01-14 00:00:00";456;22,1;40,6;23;1,9
"2018-01-15 00:00:00";654;35,3;111,1;35;2,4
"2018-01-16 00:00:00";542;35,8;88,8;31;3,4
"2018-01-17 00:00:00";557;35,2;91,2;32;2,3
"2018-01-18 00:00:00";481;39,2;87,1;24;2,7
"2018-01-19 00:00:00";497;42,7;114,3;18;2,9
"2018-01-20 00:00:00";532;36,4;86,0;20;1,9
"2018-01-21 00:00:00";470;24,9;42,9;18;1,7
"2018-01-22 00:00:00";774;38,7;82,9;31;2,6
"2018-01-23 00:00:00";1476;65,3;184,8;78;3,4
"2018-01-24 00:00:00";851;46,5;106,3;48;3,6
"2018-01-25 00:00:00";715;43,8;92,5;47;3,8
"2018-01-26 00:00:00";1362;68,1;210,0;77;4,6
"2018-01-27 00:00:00";939;53,1;93,1;66;9,2
"2018-01-28 00:00:00";699;32,7;64,7;49;3,1
"2018-01-29 00:00:00";699;33,6;101,5;34;3,1
"2018-01-30 00:00:00";527;36,3;72,1;25;3,6
"2018-01-31 00:00:00";750;45,9;129,9;34;2,8
"2018-02-01 00:00:00";503;36,0;86,1;21;8,0
"2018-02-02 00:00:00";612;43,8;114,4;28;4,4
"2018-02-03 00:00:00";404;19,8;33,4;10;2,0
"2018-02-04 00:00:00";445;22,7;32,0;20;2,3
"2018-02-05 00:00:00";542;33,6;66,6;27;2,6
"2018-02-06 00:00:00";463;26,0;52,4;23;2,1
"2018-02-07 00:00:00";478;26,6;44,2;29;2,5
"2018-02-08 00:00:00";619;30,5;60,1;34;2,5
"2018-02-09 00:00:00";;36,3;75,3;31;2,5
"2018-02-10 00:00:00";;25,5;42,9;39;2,3
"2018-02-11 00:00:00";;29,4;53,1;36;2,4
"2018-02-12 00:00:00";;56,3;140,2;52;3,1
"2018-02-13 00:00:00";;26,3;43,6;35;1,8
"2018-02-14 00:00:00";;28,6;48,5;23;1,7
"2018-02-15 00:00:00";;37,3;64,0;28;2,5
"2018-02-16 00:00:00";;47,2;98,3;37;2,3
"2018-02-17 00:00:00";725;33,6;63,9;37;2,9
"2018-02-18 00:00:00";486;15,1;22,1;22;1,7
"2018-02-19 00:00:00";553;24,5;41,2;25;2,1
"2018-02-20 00:00:00";497;30,3;66,6;26;1,4
"2018-02-21 00:00:00";472;25,8;45,3;26;1,8
"2018-02-22 00:00:00";431;19,3;32,2;22;3,4
"2018-02-23 00:00:00";460;23,6;42,0;26;2,9
"2018-02-24 00:00:00";516;11,9;18,3;23;3,2
"2018-02-25 00:00:00";699;10,4;15,5;23;4,0
"2018-02-26 00:00:00";740;18,1;31,1;28;4,7
