Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";10000;100;;-;250
"2021-01-01 00:00:00";489;9,9;13,6;15;3,4
"2021-01-01 01:00:00";489;9,9;13,7;11;3,9
"2021-01-01 02:00:00";500;10,5;13,9;11;3,7
"2021-01-01 03:00:00";524;10,3;13,6;14;3,6
"2021-01-01 04:00:00";484;8,8;12,1;6;3,7
"2021-01-01 05:00:00";490;14,2;22,9;11;3,4
"2021-01-01 06:00:00";464;16,1;29,1;7;3,3
"2021-01-01 07:00:00";471;13,9;26,3;20;3,1
"2021-01-01 08:00:00";479;24,4;47,7;14;3,6
"2021-01-01 09:00:00";464;19,3;34,8;13;3,5
"2021-01-01 10:00:00";472;12,9;27,0;10;3,3
"2021-01-01 11:00:00";482;14,0;31,5;10;3,4
"2021-01-01 12:00:00";469;12,0;30,4;13;4,1
"2021-01-01 13:00:00";467;14,4;31,2;12;3,8
"2021-01-01 14:00:00";491;17,0;36,0;9;3,8
"2021-01-01 15:00:00";469;17,4;33,4;11;3,5
"2021-01-01 16:00:00";485;16,1;30,7;14;3,9
"2021-01-01 17:00:00";469;16,2;31,1;13;4,1
"2021-01-01 18:00:00";458;16,0;30,9;10;3,7
"2021-01-01 19:00:00";445;15,4;27,3;10;3,3
"2021-01-01 20:00:00";438;14,0;22,5;10;3,3
"2021-01-01 21:00:00";468;11,4;17,6;7;3,7
"2021-01-01 22:00:00";430;10,4;15,7;14;4,3
"2021-01-01 23:00:00";425;10,3;15,7;13;4,8
"2021-01-02 00:00:00";427;8,5;11,4;9;5,5
"2021-01-02 01:00:00";477;10,6;14,0;13;4,1
"2021-01-02 02:00:00";434;8,6;11,4;9;3,9
"2021-01-02 03:00:00";464;9,4;12,2;8;3,9
"2021-01-02 04:00:00";430;13,3;23,2;8;3,7
"2021-01-02 05:00:00";478;17,1;30,1;11;3,7
"2021-01-02 06:00:00";513;17,4;33,1;9;3,4
"2021-01-02 07:00:00";558;20,0;45,5;13;3,4
"2021-01-02 08:00:00";612;23,4;51,6;11;3,5
"2021-01-02 09:00:00";671;23,1;73,1;10;4,0
"2021-01-02 10:00:00";660;29,5;83,0;14;3,5
"2021-01-02 11:00:00";498;20,3;47,1;9;4,3
"2021-01-02 12:00:00";390;14,7;26,4;17;3,8
"2021-01-02 13:00:00";385;17,6;31,3;14;3,8
"2021-01-02 14:00:00";446;21,1;42,8;22;3,6
"2021-01-02 15:00:00";574;22,3;58,4;19;3,9
"2021-01-02 16:00:00";611;25,2;55,7;27;4,4
"2021-01-02 17:00:00";609;20,6;42,8;21;3,8
"2021-01-02 18:00:00";657;22,9;45,6;18;3,7
"2021-01-02 19:00:00";645;24,3;48,5;20;3,8
"2021-01-02 20:00:00";663;25,0;46,2;20;3,6
"2021-01-02 21:00:00";574;15,8;25,1;19;3,7
"2021-01-02 22:00:00";575;11,7;18,0;16;3,7
"2021-01-02 23:00:00";508;8,9;14,2;15;3,5
