Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2025-01-01 00:00:00";;8,7;15,9;29,3;20;
"2025-01-02 00:00:00";;16,9;23,9;49,8;22;
"2025-01-03 00:00:00";;10,9;19,1;35,9;13;
"2025-01-04 00:00:00";;20,5;26,7;58,2;14;
"2025-01-05 00:00:00";;5,9;15,8;24,9;12;
"2025-01-06 00:00:00";;16,7;23,4;49,0;14;
"2025-01-07 00:00:00";;21,0;26,2;58,4;13;
"2025-01-08 00:00:00";;22,5;30,8;65,4;10;
"2025-01-09 00:00:00";;16,0;23,8;48,3;16;
"2025-01-10 00:00:00";;18,0;25,9;53,5;10;
"2025-01-11 00:00:00";;15,2;20,4;43,8;8;
"2025-01-12 00:00:00";;14,2;21,0;42,8;12;
"2025-01-13 00:00:00";;8,7;16,2;29,5;10;
"2025-01-14 00:00:00";;73,3;36,7;149,1;28;
"2025-01-15 00:00:00";;28,8;28,4;72,5;27;
"2025-01-16 00:00:00";;29,5;26,5;71,7;28;
"2025-01-17 00:00:00";;35,4;28,2;82,6;29;
"2025-01-18 00:00:00";;13,7;22,1;43,1;22;
"2025-01-19 00:00:00";;6,3;12,6;22,2;14;
"2025-01-20 00:00:00";;19,3;19,8;49,4;18;
"2025-01-21 00:00:00";;17,7;19,0;46,2;21;
"2025-01-22 00:00:00";;39,1;21,6;81,5;22;
"2025-01-23 00:00:00";;26,1;26,8;66,8;22;
"2025-01-24 00:00:00";;41,5;27,3;90,9;23;
"2025-01-25 00:00:00";;15,9;20,2;44,5;21;
"2025-01-26 00:00:00";;18,5;28,2;56,6;19;
"2025-01-27 00:00:00";;18,4;27,4;55,6;21;
"2025-01-28 00:00:00";;14,3;26,1;48,0;22;
"2025-01-29 00:00:00";;31,5;37,6;85,8;21;
"2025-01-30 00:00:00";;27,6;43,6;85,9;37;
"2025-01-31 00:00:00";;42,6;38,7;104,0;27;
"2025-02-01 00:00:00";;14,0;24,2;45,6;19;
"2025-02-02 00:00:00";;4,6;15,9;23,1;13;
"2025-02-03 00:00:00";;11,1;32,1;49,1;21;
"2025-02-04 00:00:00";;6,6;28,6;38,7;22;
"2025-02-05 00:00:00";;57,4;45,5;133,5;40;
"2025-02-06 00:00:00";;8,2;22,4;35,0;30;
"2025-02-07 00:00:00";;14,4;22,5;44,5;31;
"2025-02-08 00:00:00";;9,2;32,2;46,3;28;
"2025-02-09 00:00:00";;53,6;52,5;134,6;72;
"2025-02-10 00:00:00";;78,5;55,1;175,4;79;
"2025-02-11 00:00:00";;32,2;48,8;98,2;60;
"2025-02-12 00:00:00";;54,8;60,6;144,6;68;
"2025-02-13 00:00:00";;25,9;38,9;78,7;40;
"2025-02-14 00:00:00";;21,2;23,9;56,4;27;
"2025-02-15 00:00:00";;3,7;15,5;21,1;14;
"2025-02-16 00:00:00";;4,0;23,7;29,8;18;
"2025-02-17 00:00:00";;7,8;26,8;38,8;22;
"2025-02-18 00:00:00";;27,8;43,5;86,2;32;
"2025-02-19 00:00:00";;43,6;46,7;113,5;43;
"2025-02-20 00:00:00";;70,6;60,8;169,0;70;
"2025-02-21 00:00:00";;53,2;59,3;140,9;54;
"2025-02-22 00:00:00";;35,2;52,1;106,2;55;
"2025-02-23 00:00:00";;40,9;48,9;111,6;42;
"2025-02-24 00:00:00";;27,4;45,6;87,5;41;
"2025-02-25 00:00:00";;16,8;34,1;60,0;44;
"2025-02-26 00:00:00";;16,1;41,3;65,9;51;
"2025-02-27 00:00:00";;13,1;36,6;56,7;40;
"2025-02-28 00:00:00";;30,7;34,1;81,3;22;
"2025-03-01 00:00:00";;23,9;30,6;67,3;24;
"2025-03-02 00:00:00";;5,6;22,4;31,0;16;
"2025-03-03 00:00:00";;16,1;32,9;57,6;24;
"2025-03-04 00:00:00";;75,5;56,6;172,3;49;
"2025-03-05 00:00:00";;55,9;62,8;148,6;49;
"2025-03-06 00:00:00";;91,1;71,1;210,8;62;
"2025-03-07 00:00:00";;26,9;65,7;107,0;51;
"2025-03-08 00:00:00";;26,9;60,1;101,4;56;
"2025-03-09 00:00:00";;27,9;53,2;96,0;59;
"2025-03-10 00:00:00";;27,0;47,2;88,6;56;
"2025-03-11 00:00:00";;20,7;29,7;61,5;24;
"2025-03-12 00:00:00";;16,1;24,6;49,2;16;
"2025-03-13 00:00:00";;14,9;26,7;49,5;12;
"2025-03-14 00:00:00";;17,7;30,4;57,5;13;
"2025-03-15 00:00:00";;3,5;9,8;15,2;;
"2025-03-16 00:00:00";;2,7;8,9;13,1;8;
"2025-03-17 00:00:00";;4,8;12,6;20,0;10;
"2025-03-18 00:00:00";;27,5;29,4;71,6;17;
"2025-03-19 00:00:00";;37,6;44,9;102,5;23;
"2025-03-20 00:00:00";;62,6;60,4;156,3;47;
"2025-03-21 00:00:00";;43,0;59,5;125,4;44;
"2025-03-22 00:00:00";;9,8;33,7;48,7;22;
"2025-03-23 00:00:00";;9,1;22,3;36,3;18;
"2025-03-24 00:00:00";;26,8;34,4;75,5;21;
"2025-03-25 00:00:00";;13,3;27,3;47,7;16;
"2025-03-26 00:00:00";;9,8;27,7;42,7;19;
"2025-03-27 00:00:00";;6,4;14,0;23,7;16;
"2025-03-28 00:00:00";;7,9;12,1;24,2;13;
"2025-03-29 00:00:00";;4,7;9,2;16,5;10;
"2025-03-30 00:00:00";;6,5;18,6;28,5;17;
