Date;"PM10 (ug/m3)"
"Limit values";50
"2025-01-01 00:00:00";20
"2025-01-02 00:00:00";22
"2025-01-03 00:00:00";13
"2025-01-04 00:00:00";14
"2025-01-05 00:00:00";12
"2025-01-06 00:00:00";14
"2025-01-07 00:00:00";13
"2025-01-08 00:00:00";10
"2025-01-09 00:00:00";16
"2025-01-10 00:00:00";10
"2025-01-11 00:00:00";8
"2025-01-12 00:00:00";12
"2025-01-13 00:00:00";10
"2025-01-14 00:00:00";28
"2025-01-15 00:00:00";27
"2025-01-16 00:00:00";28
"2025-01-17 00:00:00";29
"2025-01-18 00:00:00";22
"2025-01-19 00:00:00";14
"2025-01-20 00:00:00";18
"2025-01-21 00:00:00";21
"2025-01-22 00:00:00";22
"2025-01-23 00:00:00";22
"2025-01-24 00:00:00";23
"2025-01-25 00:00:00";21
"2025-01-26 00:00:00";19
"2025-01-27 00:00:00";21
"2025-01-28 00:00:00";22
"2025-01-29 00:00:00";21
"2025-01-30 00:00:00";37
"2025-01-31 00:00:00";27
"2025-02-01 00:00:00";19
"2025-02-02 00:00:00";13
"2025-02-03 00:00:00";21
"2025-02-04 00:00:00";22
"2025-02-05 00:00:00";40
"2025-02-06 00:00:00";30
"2025-02-07 00:00:00";31
"2025-02-08 00:00:00";28
"2025-02-09 00:00:00";72
"2025-02-10 00:00:00";79
"2025-02-11 00:00:00";60
"2025-02-12 00:00:00";68
"2025-02-13 00:00:00";40
"2025-02-14 00:00:00";27
"2025-02-15 00:00:00";14
"2025-02-16 00:00:00";18
"2025-02-17 00:00:00";22
"2025-02-18 00:00:00";32
"2025-02-19 00:00:00";43
"2025-02-20 00:00:00";70
"2025-02-21 00:00:00";54
"2025-02-22 00:00:00";55
"2025-02-23 00:00:00";42
"2025-02-24 00:00:00";41
"2025-02-25 00:00:00";44
"2025-02-26 00:00:00";51
"2025-02-27 00:00:00";40
"2025-02-28 00:00:00";22
"2025-03-01 00:00:00";24
"2025-03-02 00:00:00";16
"2025-03-03 00:00:00";24
"2025-03-04 00:00:00";49
"2025-03-05 00:00:00";49
"2025-03-06 00:00:00";62
"2025-03-07 00:00:00";51
"2025-03-08 00:00:00";56
"2025-03-09 00:00:00";59
"2025-03-10 00:00:00";56
"2025-03-11 00:00:00";24
"2025-03-12 00:00:00";16
"2025-03-13 00:00:00";12
"2025-03-14 00:00:00";13
"2025-03-15 00:00:00";
"2025-03-16 00:00:00";8
"2025-03-17 00:00:00";10
"2025-03-18 00:00:00";17
"2025-03-19 00:00:00";23
"2025-03-20 00:00:00";47
"2025-03-21 00:00:00";44
"2025-03-22 00:00:00";22
"2025-03-23 00:00:00";18
"2025-03-24 00:00:00";21
"2025-03-25 00:00:00";16
"2025-03-26 00:00:00";19
"2025-03-27 00:00:00";16
"2025-03-28 00:00:00";13
"2025-03-29 00:00:00";10
"2025-03-30 00:00:00";17
