Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"O3 (ug/m3)";"PM10 (ug/m3)";"PM2.5 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;-;50;-;125
"2024-01-01 00:00:00";899;;;;53,4;11;10;2,1
"2024-01-02 00:00:00";860;;;;47,0;8;9;1,6
"2024-01-03 00:00:00";565;;;;49,0;9;8;1,8
"2024-01-04 00:00:00";294;;;;52,6;7;7;1,6
"2024-01-05 00:00:00";278;;;;49,5;12;8;1,8
"2024-01-06 00:00:00";452;;;;37,9;16;14;2,0
"2024-01-07 00:00:00";381;;;;39,8;10;12;1,6
"2024-01-08 00:00:00";408;;;;45,3;17;15;1,8
"2024-01-09 00:00:00";500;;;;44,8;18;13;2,0
"2024-01-10 00:00:00";1145;;;;18,9;61;41;2,0
"2024-01-11 00:00:00";710;;;;28,7;34;45;1,5
"2024-01-12 00:00:00";680;;;;29,7;31;34;1,6
"2024-01-13 00:00:00";436;;;;30,8;18;26;1,5
"2024-01-14 00:00:00";327;;;;39,2;18;23;2,2
"2024-01-15 00:00:00";398;;;;41,6;23;28;3,8
"2024-01-16 00:00:00";201;;;;46,0;9;15;1,6
"2024-01-17 00:00:00";348;;;;37,6;14;17;2,1
"2024-01-18 00:00:00";379;;;;46,2;12;12;2,2
"2024-01-19 00:00:00";609;1,3;9,6;11,2;49,1;15;15;1,8
"2024-01-20 00:00:00";688;3,3;15,2;20,1;48,3;21;19;3,0
"2024-01-21 00:00:00";1259;11,0;22,1;36,9;30,8;46;39;2,5
"2024-01-22 00:00:00";1084;3,6;22,0;26,1;32,5;39;53;2,6
"2024-01-23 00:00:00";933;3,1;18,7;22,7;28,3;35;45;2,8
"2024-01-24 00:00:00";;;11,3;11,1;32,2;21;32;2,6
"2024-01-25 00:00:00";;;13,8;14,7;49,0;11;12;2,5
"2024-01-26 00:00:00";471;13,4;18,0;38,6;41,7;15;12;2,5
"2024-01-27 00:00:00";354;0,8;10,7;11,9;45,3;12;14;2,5
"2024-01-28 00:00:00";280;0,6;9,0;9,9;53,2;11;9;2,5
"2024-01-29 00:00:00";547;15,8;24,2;48,4;31,7;26;21;2,6
"2024-01-30 00:00:00";1267;47,7;27,0;100,2;23,1;55;46;3,7
"2024-01-31 00:00:00";939;27,1;32,0;73,5;20,1;42;63;3,5
"2024-02-01 00:00:00";779;9,9;20,9;36,0;22,6;43;51;3,7
"2024-02-02 00:00:00";552;7,5;17,4;28,9;19,6;34;52;3,4
"2024-02-03 00:00:00";267;0,7;7,1;8,2;35,8;11;17;3,1
"2024-02-04 00:00:00";133;0,4;4,7;5,3;40,4;3;6;2,8
"2024-02-05 00:00:00";69;;;;49,1;4;8;2,6
"2024-02-06 00:00:00";92;;;;48,1;15;13;2,4
"2024-02-07 00:00:00";;;;;49,1;13;10;2,4
"2024-02-08 00:00:00";;;;;45,8;15;11;2,4
"2024-02-09 00:00:00";;;;;45,0;17;13;4,0
"2024-02-10 00:00:00";;;;;55,3;16;13;3,8
"2024-02-11 00:00:00";;;;;59,0;18;14;2,7
"2024-02-12 00:00:00";;5,1;15,2;22,6;28,1;16;12;3,1
"2024-02-13 00:00:00";;;7,4;8,4;46,8;9;11;2,6
"2024-02-14 00:00:00";691;29,8;23,1;68,9;48,1;32;15;2,9
"2024-02-15 00:00:00";1070;;;;27,2;50;49;3,5
"2024-02-16 00:00:00";838;;;;33,3;44;40;2,9
"2024-02-17 00:00:00";710;;;;36,6;37;45;3,5
"2024-02-18 00:00:00";366;;;;46,4;16;17;2,7
"2024-02-19 00:00:00";395;;;;38,7;19;23;2,7
"2024-02-20 00:00:00";356;;;;31,8;16;20;2,6
"2024-02-21 00:00:00";437;;;;25,8;19;21;2,4
"2024-02-22 00:00:00";260;;;;51,0;13;14;6,4
"2024-02-23 00:00:00";306;;;;49,1;16;12;4,9
"2024-02-24 00:00:00";317;;;;51,9;12;12;3,2
"2024-02-25 00:00:00";424;;;;41,3;16;14;3,6
"2024-02-26 00:00:00";408;;;;42,8;24;15;2,6
"2024-02-27 00:00:00";419;;;;39,7;28;18;2,6
"2024-02-28 00:00:00";513;;;;36,8;36;24;3,2
"2024-02-29 00:00:00";643;;;;32,1;49;35;2,1
"2024-03-01 00:00:00";533;;;;35,5;42;35;1,9
"2024-03-02 00:00:00";478;;;;42,0;28;23;1,8
"2024-03-03 00:00:00";477;;;;46,7;20;22;2,2
"2024-03-04 00:00:00";635;;;;37,5;36;22;2,2
"2024-03-05 00:00:00";585;;;;41,3;35;31;2,4
"2024-03-06 00:00:00";401;;;;32,2;11;15;1,9
"2024-03-07 00:00:00";388;;;;41,6;15;13;1,6
"2024-03-08 00:00:00";412;;;;30,7;26;26;2,6
"2024-03-09 00:00:00";568;;;;41,5;27;23;1,9
"2024-03-10 00:00:00";449;;;;52,4;17;19;2,2
"2024-03-11 00:00:00";408;;;;49,9;20;15;1,9
"2024-03-12 00:00:00";375;;;;54,7;14;9;1,8
"2024-03-13 00:00:00";431;;;;30,6;10;8;1,6
"2024-03-14 00:00:00";437;;;;47,6;12;9;1,6
"2024-03-15 00:00:00";547;;;;51,6;22;13;1,8
"2024-03-16 00:00:00";553;;;;40,2;22;25;4,1
"2024-03-17 00:00:00";607;;;;38,2;18;19;2,0
"2024-03-18 00:00:00";390;;;;51,6;12;13;1,7
"2024-03-19 00:00:00";342;;;;57,0;12;11;1,7
"2024-03-20 00:00:00";441;;;;51,1;18;12;2,1
"2024-03-21 00:00:00";577;;;;45,8;28;18;2,8
"2024-03-22 00:00:00";745;;;;47,6;38;29;2,8
"2024-03-23 00:00:00";504;;;;69,0;20;18;2,8
"2024-03-24 00:00:00";423;;;;68,1;6;6;1,7
"2024-03-25 00:00:00";420;;;;49,3;10;8;1,6
"2024-03-26 00:00:00";528;;;;50,7;16;11;2,1
"2024-03-27 00:00:00";569;;;;58,5;23;10;2,3
"2024-03-28 00:00:00";520;;;;64,8;20;13;1,8
"2024-03-29 00:00:00";495;;;;73,1;9;6;1,9
"2024-03-30 00:00:00";565;;;;62,1;18;8;3,3
"2024-03-31 00:00:00";488;;;;67,3;37;14;3,9
"2024-04-01 00:00:00";487;;;;66,7;;31;3,4
"2024-04-02 00:00:00";502;;;;60,5;;15;1,8
"2024-04-03 00:00:00";493;;;;65,7;;6;1,6
"2024-04-04 00:00:00";573;;;;56,7;;7;1,8
"2024-04-05 00:00:00";588;;;;52,1;;9;1,7
"2024-04-06 00:00:00";624;;;;53,5;;9;1,8
"2024-04-07 00:00:00";622;;;;62,5;;12;1,7
"2024-04-08 00:00:00";662;;;;55,5;;10;2,1
"2024-04-09 00:00:00";669;;;;57,5;;15;2,5
"2024-04-10 00:00:00";619;;;;64,1;;17;3,1
"2024-04-11 00:00:00";;;;;;;;
"2024-04-12 00:00:00";;;;;;;;
