Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"O3 (ug/m3)";"PM10 (ug/m3)";"PM2.5 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;85;;-;50;-;125
"2013-01-01 00:00:00";1096;23,2;39,9;;62;;7,1
"2013-01-02 00:00:00";1157;28,7;56,8;;61;;9,0
"2013-01-03 00:00:00";674;12,7;16,2;;32;;6,9
"2013-01-04 00:00:00";900;21,0;36,0;;28;;8,7
"2013-01-05 00:00:00";570;16,3;24,5;;11;;9,1
"2013-01-06 00:00:00";553;14,1;17,5;;16;;8,8
"2013-01-07 00:00:00";559;14,3;19,2;;12;;7,9
"2013-01-08 00:00:00";886;31,6;47,1;;33;;8,8
"2013-01-09 00:00:00";1584;36,6;87,8;;71;;12,5
"2013-01-10 00:00:00";930;26,3;34,2;;43;;12,6
"2013-01-11 00:00:00";613;22,0;31,5;;26;;5,5
"2013-01-12 00:00:00";588;22,2;30,4;;24;;5,0
"2013-01-13 00:00:00";404;15,9;20,8;;17;;4,2
"2013-01-14 00:00:00";587;27,2;34,1;;26;;4,8
"2013-01-15 00:00:00";1003;41,5;59,2;;42;;8,3
"2013-01-16 00:00:00";663;33,7;45,0;;23;;7,5
"2013-01-17 00:00:00";657;32,2;52,3;;27;;9,8
"2013-01-18 00:00:00";563;24,2;38,7;21,5;26;;22,5
"2013-01-19 00:00:00";604;17,2;23,4;27,1;32;;9,5
"2013-01-20 00:00:00";842;24,7;30,1;31,3;40;;7,8
"2013-01-21 00:00:00";1278;44,0;99,5;17,7;53;;14,5
"2013-01-22 00:00:00";785;24,6;35,1;14,5;40;;10,2
"2013-01-23 00:00:00";703;19,9;25,5;31,4;38;;10,1
"2013-01-24 00:00:00";653;31,1;42,8;32,9;31;;9,1
"2013-01-25 00:00:00";445;18,3;25,2;45,5;39;;13,0
"2013-01-26 00:00:00";392;33,7;46,7;42,5;26;;22,5
"2013-01-27 00:00:00";601;19,5;23,9;42,1;41;;6,2
"2013-01-28 00:00:00";641;29,5;35,3;33,9;52;;19,2
"2013-01-29 00:00:00";553;18,0;21,7;47,2;51;;17,5
"2013-01-30 00:00:00";575;16,0;21,7;30,8;32;;6,6
"2013-01-31 00:00:00";315;16,3;24,6;42,6;16;;5,2
"2013-02-01 00:00:00";231;13,5;18,1;49,0;12;;4,9
"2013-02-02 00:00:00";604;19,5;33,5;46,2;23;;9,8
"2013-02-03 00:00:00";300;16,0;21,7;40,2;8;;5,6
"2013-02-04 00:00:00";325;11,4;16,1;43,8;13;;5,2
"2013-02-05 00:00:00";389;13,3;17,5;48,2;20;;20,1
"2013-02-06 00:00:00";713;38,4;57,6;26,7;35;;17,0
"2013-02-07 00:00:00";551;18,5;23,3;38,6;23;;9,1
"2013-02-08 00:00:00";502;18,4;24,3;50,4;18;;6,7
"2013-02-09 00:00:00";608;21,3;27,5;42,5;26;;4,9
"2013-02-10 00:00:00";615;22,6;31,9;42,4;26;;4,0
"2013-02-11 00:00:00";933;23,3;36,4;46,0;42;;6,0
"2013-02-12 00:00:00";725;22,7;27,9;50,9;29;;5,3
"2013-02-13 00:00:00";608;33,3;41,4;49,2;21;;3,8
"2013-02-14 00:00:00";749;30,8;39,9;35,4;28;;4,1
"2013-02-15 00:00:00";832;34,6;56,3;24,7;37;;5,6
"2013-02-16 00:00:00";583;22,5;28,8;45,6;28;;4,5
"2013-02-17 00:00:00";470;16,7;23,5;55,0;20;;6,6
"2013-02-18 00:00:00";515;21,8;29,4;48,2;31;;4,9
"2013-02-19 00:00:00";564;14,9;18,8;50,8;33;;7,7
"2013-02-20 00:00:00";483;16,4;21,7;41,5;20;;5,1
"2013-02-21 00:00:00";799;27,4;43,2;31,5;32;;4,0
"2013-02-22 00:00:00";856;49,7;68,1;28,1;33;;8,0
"2013-02-23 00:00:00";750;27,5;33,5;34,5;22;;7,3
"2013-02-24 00:00:00";422;9,7;11,5;55,1;12;;4,3
"2013-02-25 00:00:00";470;21,8;26,9;39,0;14;;4,3
"2013-02-26 00:00:00";503;18,9;28,7;36,4;20;;4,6
"2013-02-27 00:00:00";551;25,5;33,1;36,5;25;;5,8
"2013-02-28 00:00:00";637;28,3;45,8;33,2;32;;4,3
"2013-03-01 00:00:00";739;13,9;18,2;36,3;26;;3,4
"2013-03-02 00:00:00";935;24,9;43,1;43,0;28;;4,4
"2013-03-03 00:00:00";696;13,9;18,6;51,7;22;;5,9
"2013-03-04 00:00:00";869;36,3;46,9;49,4;31;;6,8
"2013-03-05 00:00:00";1267;45,7;74,3;39,7;52;;10,3
"2013-03-06 00:00:00";791;23,8;28,9;54,8;43;;13,8
"2013-03-07 00:00:00";514;11,2;13,2;58,6;24;;14,4
"2013-03-08 00:00:00";612;23,6;27,2;46,2;20;;9,3
"2013-03-09 00:00:00";515;12,5;15,1;43,3;16;;7,6
"2013-03-10 00:00:00";704;19,1;24,4;34,8;19;;7,0
"2013-03-11 00:00:00";628;15,2;19,2;55,4;14;;7,8
"2013-03-12 00:00:00";784;25,4;34,7;44,1;28;;10,1
"2013-03-13 00:00:00";602;20,2;24,9;49,0;22;;8,6
"2013-03-14 00:00:00";476;19,6;27,4;56,7;26;;7,9
"2013-03-15 00:00:00";308;16,7;21,7;84,4;19;;8,2
"2013-03-16 00:00:00";619;38,4;44,8;57,0;27;;5,2
"2013-03-17 00:00:00";837;34,3;41,3;73,6;36;;9,3
"2013-03-18 00:00:00";576;18,4;22,1;74,8;25;;10,6
"2013-03-19 00:00:00";485;16,1;19,2;59,3;15;;10,9
"2013-03-20 00:00:00";677;24,7;31,0;56,7;25;;10,1
"2013-03-21 00:00:00";554;23,3;27,1;63,7;22;;10,8
"2013-03-22 00:00:00";496;9,4;13,0;98,4;19;;7,7
"2013-03-23 00:00:00";451;9,5;14,4;86,2;23;;7,6
"2013-03-24 00:00:00";532;12,9;19,1;80,5;21;;6,9
"2013-03-25 00:00:00";495;31,6;43,3;65,7;19;;7,9
"2013-03-26 00:00:00";526;28,1;37,1;73,1;16;;9,1
"2013-03-27 00:00:00";573;20,1;24,9;72,2;24;;13,7
"2013-03-28 00:00:00";744;16,4;19,0;77,3;31;;13,6
"2013-03-29 00:00:00";725;17,1;20,6;58,7;21;;7,4
