Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"O3 (ug/m3)";"PM10 (ug/m3)";"PM2.5 (ug/m3)";"SO2 (ug/m3)"
"Limit values";10000;100;;-;-;-;250
"2015-01-01 00:00:00";7483;46,7;332,6;35,9;317;;12,1
"2015-01-01 01:00:00";4907;49,1;182,6;24,7;300;;23,9
"2015-01-01 02:00:00";3703;37,9;102,5;13,2;215;;19,9
"2015-01-01 03:00:00";1840;27,9;44,3;3,3;75;;8,3
"2015-01-01 04:00:00";1181;17,3;24,3;7,3;36;;6,1
"2015-01-01 05:00:00";1018;13,3;18,7;11,3;33;;4,7
"2015-01-01 06:00:00";947;10,6;15,3;12,4;31;;3,8
"2015-01-01 07:00:00";913;8,3;12,0;14,9;28;;3,3
"2015-01-01 08:00:00";996;8,6;12,5;16,0;37;;3,1
"2015-01-01 09:00:00";1061;9,0;14,5;22,3;44;;4,1
"2015-01-01 10:00:00";1158;9,6;16,2;26,3;48;;5,3
"2015-01-01 11:00:00";1161;9,3;15,6;31,2;47;;4,6
"2015-01-01 12:00:00";1124;9,0;14,3;32,4;45;;4,4
"2015-01-01 13:00:00";1091;8,9;14,1;32,4;45;;3,8
"2015-01-01 14:00:00";1130;9,5;15,0;34,9;48;;3,9
"2015-01-01 15:00:00";1119;10,6;15,5;39,3;48;;3,3
"2015-01-01 16:00:00";1025;12,9;18,5;36,2;41;;3,5
"2015-01-01 17:00:00";937;11,9;16,4;38,0;37;;4,3
"2015-01-01 18:00:00";852;11,4;15,7;36,4;27;;6,2
"2015-01-01 19:00:00";807;11,7;15,4;36,0;28;;5,5
"2015-01-01 20:00:00";816;10,7;14,1;37,4;30;;4,8
"2015-01-01 21:00:00";869;11,3;15,1;35,9;37;;3,7
"2015-01-01 22:00:00";876;9,5;12,3;38,9;38;;3,8
"2015-01-01 23:00:00";975;9,8;11,8;39,9;53;;3,1
"2015-01-02 00:00:00";975;10,2;12,5;38,6;55;;2,9
"2015-01-02 01:00:00";950;10,1;12,3;39,3;51;;2,5
"2015-01-02 02:00:00";947;11,8;14,3;33,8;51;;2,3
"2015-01-02 03:00:00";1036;16,6;20,1;27,1;55;;1,9
"2015-01-02 04:00:00";1122;14,9;17,9;33,4;67;;3,3
"2015-01-02 05:00:00";1020;11,2;13,1;39,2;61;;2,7
"2015-01-02 06:00:00";1003;9,2;11,2;46,4;62;;2,2
"2015-01-02 07:00:00";1039;10,2;12,6;45,6;65;;2,0
"2015-01-02 08:00:00";1076;12,7;15,8;44,4;68;;2,1
"2015-01-02 09:00:00";1264;13,6;18,3;49,8;76;;3,2
"2015-01-02 10:00:00";1334;13,2;19,5;48,6;76;;5,3
"2015-01-02 11:00:00";1259;14,0;20,4;49,4;75;;6,0
"2015-01-02 12:00:00";1161;12,7;17,4;50,9;69;;4,4
"2015-01-02 13:00:00";1323;13,9;18,6;53,6;79;;3,9
"2015-01-02 14:00:00";1311;13,2;18,0;49,7;71;;4,2
"2015-01-02 15:00:00";1203;14,3;18,8;48,6;78;;5,9
"2015-01-02 16:00:00";1226;14,7;20,1;48,5;75;;8,3
"2015-01-02 17:00:00";1120;15,1;21,7;48,2;73;;8,5
"2015-01-02 18:00:00";1043;13,3;16,0;48,0;64;;10,3
"2015-01-02 19:00:00";1018;13,1;16,2;43,6;70;;10,9
"2015-01-02 20:00:00";1021;13,0;16,9;39,3;63;;10,1
"2015-01-02 21:00:00";974;11,1;13,4;39,6;38;;7,9
"2015-01-02 22:00:00";958;11,3;13,8;39,3;25;;7,2
"2015-01-02 23:00:00";945;10,9;13,7;41,6;31;;8,0
"2015-01-03 00:00:00";942;10,1;12,0;41,6;39;;9,2
"2015-01-03 01:00:00";918;11,3;13,2;39,3;43;;10,8
"2015-01-03 02:00:00";893;11,7;13,5;38,7;51;;11,4
"2015-01-03 03:00:00";862;12,1;14,7;35,0;52;;9,5
"2015-01-03 04:00:00";842;12,0;14,5;30,9;46;;6,8
"2015-01-03 05:00:00";855;16,2;19,4;22,5;45;;4,7
"2015-01-03 06:00:00";898;23,9;29,6;15,1;50;;3,9
