Date;"CO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"PM2.5 (ug/m3)";"SO2 (ug/m3)"
"Limit values";10000;100;;-;-;250
"2024-01-01 00:00:00";919;;;9;15;2,4
"2024-01-01 01:00:00";904;;;20;15;2,5
"2024-01-01 02:00:00";892;;;10;14;2,3
"2024-01-01 03:00:00";875;;;10;10;2,5
"2024-01-01 04:00:00";867;;;10;8;2,4
"2024-01-01 05:00:00";876;;;12;6;2,6
"2024-01-01 06:00:00";876;;;11;6;3,0
"2024-01-01 07:00:00";883;;;15;8;3,1
"2024-01-01 08:00:00";881;;;11;8;2,7
"2024-01-01 09:00:00";866;;;9;11;2,9
"2024-01-01 10:00:00";879;;;14;12;2,9
"2024-01-01 11:00:00";891;;;13;8;2,5
"2024-01-01 12:00:00";912;;;14;6;2,2
"2024-01-01 13:00:00";951;;;19;10;2,2
"2024-01-01 14:00:00";981;;;12;11;1,8
"2024-01-01 15:00:00";934;;;7;11;1,9
"2024-01-01 16:00:00";883;;;5;11;1,6
"2024-01-01 17:00:00";916;;;8;10;1,5
"2024-01-01 18:00:00";869;;;6;10;1,6
"2024-01-01 19:00:00";909;;;9;11;1,6
"2024-01-01 20:00:00";937;;;9;12;1,4
"2024-01-01 21:00:00";902;;;10;8;1,7
"2024-01-01 22:00:00";908;;;10;7;1,6
"2024-01-01 23:00:00";900;;;9;9;1,5
"2024-01-02 00:00:00";873;;;7;10;1,3
"2024-01-02 01:00:00";873;;;7;8;1,4
"2024-01-02 02:00:00";844;;;7;8;1,4
"2024-01-02 03:00:00";849;;;7;8;1,4
"2024-01-02 04:00:00";842;;;7;8;1,1
"2024-01-02 05:00:00";855;;;6;10;1,5
"2024-01-02 06:00:00";857;;;6;11;1,4
"2024-01-02 07:00:00";858;;;6;8;1,4
"2024-01-02 08:00:00";874;;;7;7;1,3
"2024-01-02 09:00:00";900;;;12;8;1,3
"2024-01-02 10:00:00";876;;;8;8;1,4
"2024-01-02 11:00:00";850;;;7;12;1,4
"2024-01-02 12:00:00";846;;;8;14;1,4
"2024-01-02 13:00:00";850;;;7;10;1,6
"2024-01-02 14:00:00";885;;;11;8;1,4
"2024-01-02 15:00:00";902;;;9;9;1,5
