Date;CO (ug/m3);NO2 (ug/m3);NOx (ug/m3);PM10 (ug/m3);SO2 (ug/m3)
2019-01-01 00:00:00;;25,3;62,2;18,0;2,2
2019-01-02 00:00:00;;24,1;40,2;10,0;2,0
2019-01-03 00:00:00;;21,5;38,0;10,0;2,3
2019-01-04 00:00:00;;31,7;77,1;19,0;2,9
2019-01-05 00:00:00;;26,5;56,4;22,0;3,7
2019-01-06 00:00:00;;17,2;35,6;18,0;2,7
2019-01-07 00:00:00;;35,6;84,0;29,0;4,0
2019-01-08 00:00:00;;38,1;98,2;36,0;5,6
2019-01-09 00:00:00;;38,3;100,6;42,0;5,1
2019-01-10 00:00:00;;30,1;64,6;38,0;3,5
2019-01-11 00:00:00;;43,0;97,6;47,0;6,1
2019-01-12 00:00:00;;34,8;72,8;29,0;3,8
2019-01-13 00:00:00;;28,8;59,2;23,0;3,3
2019-01-14 00:00:00;;;;19,0;3,7
2019-01-15 00:00:00;;46,8;104,5;13,0;2,3
2019-01-16 00:00:00;;38,9;106,0;14,0;2,1
2019-01-17 00:00:00;;44,9;101,4;21,0;4,2
2019-01-18 00:00:00;;46,7;136,9;21,0;3,4
2019-01-19 00:00:00;;27,7;33,9;21,0;1,9
2019-01-20 00:00:00;;28,3;34,1;38,0;1,5
2019-01-21 00:00:00;;41,0;57,6;47,0;3,7
2019-01-22 00:00:00;;41,2;59,6;68,0;2,5
2019-01-23 00:00:00;;36,8;55,8;45,0;2,6
2019-01-24 00:00:00;;28,9;40,3;29,0;4,4
2019-01-25 00:00:00;;39,2;78,3;43,0;4,2
2019-01-26 00:00:00;;36,8;52,0;33,0;4,7
2019-01-27 00:00:00;;32,9;42,8;29,0;2,3
2019-01-28 00:00:00;;61,3;133,3;39,0;2,0
2019-01-29 00:00:00;;54,5;126,5;43,0;1,9
2019-01-30 00:00:00;;47,4;103,1;52,0;1,9
2019-01-31 00:00:00;;61,9;165,2;64,0;2,2
2019-02-01 00:00:00;;45,6;95,5;31,0;2,9
2019-02-02 00:00:00;;41,6;62,6;19,0;2,0
2019-02-03 00:00:00;;33,0;50,4;26,0;1,8
2019-02-04 00:00:00;;26,2;59,3;15,0;1,7
2019-02-05 00:00:00;;28,2;42,9;18,0;1,5
2019-02-06 00:00:00;;27,7;35,3;19,0;1,7
2019-02-07 00:00:00;;49,7;131,8;35,0;2,4
2019-02-08 00:00:00;;56,2;147,0;44,0;2,0
2019-02-09 00:00:00;;49,2;92,7;33,0;1,7
2019-02-10 00:00:00;;33,4;47,9;35,0;2,9
2019-02-11 00:00:00;;37,3;69,3;20,0;2,9
2019-02-12 00:00:00;;21,5;27,1;12,0;1,3
2019-02-13 00:00:00;;42,4;73,5;20,0;1,8
2019-02-14 00:00:00;;38,7;101,3;26,0;1,9
2019-02-15 00:00:00;;56,8;191,1;42,0;2,2
2019-02-16 00:00:00;;65,0;208,9;67,0;2,5
2019-02-17 00:00:00;;61,6;190,7;74,0;2,4
2019-02-18 00:00:00;;73,8;229,8;90,0;2,8
2019-02-19 00:00:00;;87,3;303,6;105,0;3,6
2019-02-20 00:00:00;;70,0;206,6;83,0;2,9
2019-02-21 00:00:00;;68,1;208,3;39,0;2,5
2019-02-22 00:00:00;;27,9;47,5;13,0;1,9
2019-02-23 00:00:00;;19,2;22,0;14,0;2,9
2019-02-24 00:00:00;;25,6;28,8;22,0;2,8
2019-02-25 00:00:00;;62,1;129,5;36,0;3,1
2019-02-26 00:00:00;;55,3;153,9;45,0;2,8
2019-02-27 00:00:00;;43,1;101,6;29,0;1,9
2019-02-28 00:00:00;;45,9;93,5;31,0;2,2
2019-03-01 00:00:00;;52,9;110,2;34,0;2,3
2019-03-02 00:00:00;;30,7;45,7;21,0;1,6
2019-03-03 00:00:00;;35,3;49,5;20,0;1,6
2019-03-04 00:00:00;;49,2;85,3;25,0;4,4
2019-03-05 00:00:00;;34,1;46,0;16,0;1,7
2019-03-06 00:00:00;;51,6;74,0;15,0;1,6
2019-03-07 00:00:00;;46,6;73,6;23,0;3,7
2019-03-08 00:00:00;;60,6;159,5;29,0;3,7
2019-03-09 00:00:00;;40,1;63,9;12,0;2,6
2019-03-10 00:00:00;;27,7;38,3;11,0;2,6
2019-03-11 00:00:00;;26,6;34,3;9,0;2,3
2019-03-12 00:00:00;;39,1;58,6;18,0;2,4
2019-03-13 00:00:00;;55,6;120,7;20,0;3,1
