Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"O3 (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;-;50;125
"2025-01-01 00:00:00";735;0,6;9,2;10,0;38,7;33;5,1
"2025-01-02 00:00:00";792;0,7;9,7;10,8;42,3;26;6,0
"2025-01-03 00:00:00";703;1,2;14,5;16,0;39,4;23;4,8
"2025-01-04 00:00:00";626;3,3;17,5;22,1;40,6;17;4,7
"2025-01-05 00:00:00";624;1,3;11,2;13,1;49,6;15;4,7
"2025-01-06 00:00:00";611;;8,0;7,9;59,7;7;5,3
"2025-01-07 00:00:00";694;;12,3;12,9;45,9;10;5,1
"2025-01-08 00:00:00";696;;11,2;12,4;45,3;12;4,6
"2025-01-09 00:00:00";688;;9,8;10,1;53,3;18;5,0
"2025-01-10 00:00:00";674;1,8;15,8;17,9;44,3;14;4,7
"2025-01-11 00:00:00";639;0,8;8,7;9,8;46,9;12;4,5
"2025-01-12 00:00:00";665;0,8;9,6;10,7;37,0;14;4,5
"2025-01-13 00:00:00";661;2,9;15,8;20,2;29,3;14;4,5
"2025-01-14 00:00:00";928;45,8;29,0;99,2;16,4;29;5,7
"2025-01-15 00:00:00";470;3,2;19,2;24,2;16,6;40;5,2
"2025-01-16 00:00:00";470;3,4;17,7;22,9;22,0;42;5,1
"2025-01-17 00:00:00";412;1,7;15,7;18,3;24,0;44;5,0
"2025-01-18 00:00:00";395;1,2;18,6;20,4;19,8;36;5,0
"2025-01-19 00:00:00";471;1,2;14,1;15,9;28,7;27;5,0
"2025-01-20 00:00:00";443;0,9;13,5;14,7;29,1;23;4,9
"2025-01-21 00:00:00";561;3,6;17,9;23,4;15,6;32;4,9
"2025-01-22 00:00:00";529;2,3;13,4;16,9;13,4;34;4,9
"2025-01-23 00:00:00";556;;17,0;20,9;30,5;33;6,0
"2025-01-24 00:00:00";721;9,9;20,7;35,2;10,8;31;5,4
"2025-01-25 00:00:00";662;4,2;16,7;23,1;26,1;35;5,3
"2025-01-26 00:00:00";540;2,0;19,1;22,1;34,7;14;5,5
"2025-01-27 00:00:00";439;1,1;14,2;15,5;45,8;;7,0
"2025-01-28 00:00:00";389;;12,6;13,2;56,7;17;6,9
"2025-01-29 00:00:00";548;4,8;18,5;23,9;39,9;23;5,4
"2025-01-30 00:00:00";866;20,1;41,4;72,3;19,4;41;5,6
"2025-01-31 00:00:00";707;5,1;23,2;31,0;18,4;47;5,3
"2025-02-01 00:00:00";444;5,1;22,5;30,3;54,0;14;5,3
"2025-02-02 00:00:00";412;1,5;17,1;19,2;44,7;22;4,9
"2025-02-03 00:00:00";502;7,4;30,2;41,0;35,4;25;5,2
"2025-02-04 00:00:00";494;6,5;33,3;43,2;31,0;38;5,6
"2025-02-05 00:00:00";765;15,5;33,0;56,7;21,9;48;5,9
"2025-02-06 00:00:00";499;6,0;24,8;34,0;36,3;45;7,0
"2025-02-07 00:00:00";568;1,8;20,0;22,9;40,5;36;5,9
"2025-02-08 00:00:00";607;5,8;32,5;41,4;34,1;25;5,8
"2025-02-09 00:00:00";1226;23,9;39,2;75,8;22,4;;6,1
"2025-02-10 00:00:00";1294;36,0;42,8;98,0;26,2;;7,2
"2025-02-11 00:00:00";1010;20,7;42,0;73,8;32,3;79;6,9
"2025-02-12 00:00:00";1247;26,3;53,2;93,5;26,3;70;7,8
"2025-02-13 00:00:00";823;1,6;26,3;28,6;38,1;55;7,4
"2025-02-14 00:00:00";821;5,6;24,9;32,8;26,2;42;7,1
"2025-02-15 00:00:00";504;1,1;15,5;17,2;59,3;20;5,6
"2025-02-16 00:00:00";607;1,4;22,9;25,0;49,3;19;6,0
"2025-02-17 00:00:00";574;4,4;27,0;33,7;49,3;24;6,0
"2025-02-18 00:00:00";843;22,3;34,8;69,1;42,7;40;6,7
"2025-02-19 00:00:00";1140;25,9;37,8;77,6;40,4;43;7,3
"2025-02-20 00:00:00";1547;33,2;47,5;98,4;30,9;88;9,3
"2025-02-21 00:00:00";1214;16,3;46,8;71,8;35,4;60;8,1
"2025-02-22 00:00:00";1217;14,1;44,2;64,9;37,3;98;8,9
"2025-02-23 00:00:00";1180;11,3;37,2;54,6;34,7;;7,8
"2025-02-24 00:00:00";696;2,7;27,9;32,1;41,8;71;9,3
"2025-02-25 00:00:00";552;0,8;24,7;25,6;61,4;62;9,6
"2025-02-26 00:00:00";673;3,1;34,4;38,1;52,3;75;8,8
"2025-02-27 00:00:00";606;1,8;31,3;33,4;50,7;54;8,2
"2025-02-28 00:00:00";656;2,2;21,5;24,9;25,1;50;6,9
"2025-03-01 00:00:00";734;7,4;23,1;33,0;23,1;42;6,8
"2025-03-02 00:00:00";474;;19,6;20,2;50,2;25;6,3
"2025-03-03 00:00:00";567;;25,7;30,0;48,8;37;6,7
"2025-03-04 00:00:00";983;;35,9;71,0;39,2;50;7,3
"2025-03-05 00:00:00";958;;40,5;64,8;39,9;81;8,4
"2025-03-06 00:00:00";961;;46,2;100,4;43,1;83;8,5
"2025-03-07 00:00:00";659;4,3;45,9;50,8;59,6;71;7,9
"2025-03-08 00:00:00";690;;40,6;41,5;69,6;64;7,5
"2025-03-09 00:00:00";776;;33,3;37,5;65,9;77;8,2
"2025-03-10 00:00:00";557;;23,6;28,4;62,9;86;9,2
"2025-03-11 00:00:00";416;;14,9;15,3;41,8;37;6,6
"2025-03-12 00:00:00";411;;10,3;10,6;59,3;14;6,7
"2025-03-13 00:00:00";421;;7,1;8,8;68,3;17;5,8
"2025-03-14 00:00:00";409;;9,1;9,6;62,7;14;5,6
"2025-03-15 00:00:00";413;1,5;11,2;12,9;41,7;13;4,9
"2025-03-16 00:00:00";377;0,6;9,4;10,2;56,3;8;5,0
"2025-03-17 00:00:00";296;1,0;10,5;11,7;72,4;20;5,2
"2025-03-18 00:00:00";444;11,9;23,0;40,5;55,3;17;5,1
"2025-03-19 00:00:00";363;;19,2;23,8;58,0;27;5,1
"2025-03-20 00:00:00";;;;;;;
"2025-03-21 00:00:00";807;20,0;41,3;68,1;47,9;67;6,3
"2025-03-22 00:00:00";575;;18,8;19,2;66,9;45;6,1
"2025-03-23 00:00:00";550;;10,7;10,9;60,3;33;5,6
"2025-03-24 00:00:00";639;2,0;19,2;21,4;33,8;31;5,5
"2025-03-25 00:00:00";482;;13,6;14,6;49,5;20;5,1
"2025-03-26 00:00:00";439;2,5;26,8;30,7;49,3;26;5,0
"2025-03-27 00:00:00";232;1,2;15,7;17,6;63,3;20;4,8
"2025-03-28 00:00:00";367;7,0;13,5;22,9;58,8;19;5,1
"2025-03-29 00:00:00";366;;8,4;8,7;74,5;17;4,9
"2025-03-30 00:00:00";;;;;;;
