Date,CO (ug/m3),NO2 (ug/m3),NOx (ug/m3),PM10 (ug/m3),SO2 (ug/m3)
Limit values,10000.0,100.0,,-,250.0
2019-01-01 00:00:00,,14.2,22.9,19,2.2
2019-01-01 01:00:00,,15.7,24.2,36,1.9
2019-01-01 02:00:00,,14.3,22.5,24,2.0
2019-01-01 03:00:00,,25.3,35.4,22,1.8
2019-01-01 04:00:00,,32.8,46.5,18,2.0
2019-01-01 05:00:00,,33.8,47.5,22,2.0
2019-01-01 06:00:00,,47.6,158.1,25,2.8
2019-01-01 07:00:00,,49.8,232.7,26,2.9
2019-01-01 08:00:00,,50.1,248.8,24,3.2
2019-01-01 09:00:00,,46.6,166.1,19,2.5
2019-01-01 10:00:00,,30.8,61.1,18,2.1
2019-01-01 11:00:00,,20.4,30.6,9,2.3
2019-01-01 12:00:00,,19.3,34.6,16,2.6
2019-01-01 13:00:00,,16.2,27.2,18,2.2
2019-01-01 14:00:00,,13.5,24.7,20,2.3
2019-01-01 15:00:00,,19.4,33.4,20,2.5
2019-01-01 16:00:00,,21.8,38.4,18,2.7
2019-01-01 17:00:00,,25.9,46.5,15,2.2
2019-01-01 18:00:00,,15.3,29.3,13,2.2
2019-01-01 19:00:00,,19.4,33.8,11,1.8
2019-01-01 20:00:00,,18.6,31.4,9,2.0
2019-01-01 21:00:00,,17.9,29.2,10,1.6
2019-01-01 22:00:00,,18.6,33.5,12,1.8
2019-01-01 23:00:00,,21.9,38.9,13,1.5
2019-01-02 00:00:00,,11.2,19.3,11,1.2
2019-01-02 01:00:00,,12.4,20.6,11,1.5
2019-01-02 02:00:00,,12.8,20.9,14,1.6
2019-01-02 03:00:00,,10.9,18.7,13,1.9
2019-01-02 04:00:00,,13.9,23.6,13,1.9
2019-01-02 05:00:00,,15.1,27.1,10,2.0
2019-01-02 06:00:00,,24.0,40.5,8,1.8
2019-01-02 07:00:00,,20.7,34.6,6,2.0
2019-01-02 08:00:00,,43.7,134.5,11,2.5
2019-01-02 09:00:00,,40.9,100.6,12,2.3
2019-01-02 10:00:00,,35.6,56.7,5,2.3
2019-01-02 11:00:00,,29.1,39.8,7,2.3
