Date,Station1_CO,Station1_NO2,Station1_NOx,Station1_PM10,Station1_SO2,Station2_CO,Station2_NO2,Station2_NOx,Station2_O3,Station2_PM10,Station2_SO2,Year,Month,Day,WeekDay,Season
2014-01-01,1057.0,31.3,67.6,56.0,6.959999999999999,1121.0,19.9,27.5,9.3,42.0,8.5,2014,1,1,Wednesday,Winter
2014-01-02,1030.0,37.0,89.1,60.0,11.120000000000001,1212.0,25.9,44.4,9.9,52.0,13.5,2014,1,2,Thursday,Winter
2014-01-03,1319.0,49.1,196.1,69.0,10.18,1292.0,26.3,60.5,7.5,56.0,12.6,2014,1,3,Friday,Winter
2014-01-04,1001.0,36.9,94.8,46.0,11.66,952.0,21.6,27.3,7.6,35.0,14.7,2014,1,4,Saturday,Winter
2014-01-05,1155.0,37.3,102.6,39.0,9.32,1001.0,23.4,36.6,12.5,28.0,12.0,2014,1,5,Sunday,Winter
2014-01-06,1624.0,49.6,204.2,65.0,8.819999999999999,1153.0,25.6,97.0,6.6,42.0,11.6,2014,1,6,Monday,Winter
2014-01-07,1005.0,31.9,103.8,38.0,5.28,775.0,18.1,25.8,4.9,27.0,7.5,2014,1,7,Tuesday,Winter
2014-01-08,939.0,28.0,84.2,27.0,3.630814332247557,740.0,14.7,23.5,,21.0,3.306286472148541,2014,1,8,Wednesday,Winter
2014-01-09,708.0,29.8,80.1,23.0,3.630814332247557,776.0,13.8,18.1,,19.0,3.306286472148541,2014,1,9,Thursday,Winter
2014-01-10,430.0,29.4,85.0,17.0,3.630814332247557,767.0,12.9,17.6,,15.0,3.306286472148541,2014,1,10,Friday,Winter
2014-01-11,714.0,45.2,143.8,32.0,3.630814332247557,1238.0,26.3,49.7,,39.0,3.306286472148541,2014,1,11,Saturday,Winter
2014-01-12,304.0,17.8,30.7,17.0,3.630814332247557,686.0,11.3,14.8,,12.0,3.306286472148541,2014,1,12,Sunday,Winter
2014-01-13,1266.0,54.9,237.6,67.0,3.630814332247557,1427.0,27.7,73.3,,49.0,3.306286472148541,2014,1,13,Monday,Winter
2014-01-14,675.0,39.7,100.1,46.0,3.630814332247557,1091.0,27.5,35.3,,33.0,3.306286472148541,2014,1,14,Tuesday,Winter
2014-01-15,704.0,40.1,132.0,36.0,3.630814332247557,1001.0,24.9,39.5,,29.0,3.306286472148541,2014,1,15,Wednesday,Winter
2014-01-16,781.0,36.8,126.2,38.0,3.630814332247557,1051.0,22.8,38.2,,27.0,3.306286472148541,2014,1,16,Thursday,Winter
2014-01-17,624.0,41.3,117.5,31.0,3.630814332247557,893.0,15.5,20.0,,18.0,3.306286472148541,2014,1,17,Friday,Winter
2014-01-18,718.0,44.6,113.7,29.0,8.9,1147.0,23.9,31.1,,27.0,5.04,2014,1,18,Saturday,Winter
2014-01-19,595.0,34.220000000000006,47.019999999999996,25.0,9.0,990.0,16.8,19.4,,21.0,8.14,2014,1,19,Sunday,Winter
2014-01-20,619.0,32.54,72.18,24.0,5.7,914.0,18.8,22.0,,17.0,3.28,2014,1,20,Monday,Winter
2014-01-21,1033.0,50.32,82.46000000000001,42.0,6.4,1211.0,37.1,58.2,,32.0,3.56,2014,1,21,Tuesday,Winter
2014-01-22,685.0,29.32,88.74,19.0,9.3,945.0,22.7,38.9,,16.0,7.779999999999999,2014,1,22,Wednesday,Winter
2014-01-23,805.2,32.46,73.56,31.0,10.8,902.0,25.5,34.7,,25.0,10.2,2014,1,23,Thursday,Winter
2014-01-24,813.2,28.740000000000002,70.74,39.0,6.3,817.0,26.5,43.2,,31.0,4.3999999999999995,2014,1,24,Friday,Winter
2014-01-25,289.0,42.68,66.74000000000001,27.0,7.1,553.0,21.7,30.8,,29.0,9.3,2014,1,25,Saturday,Winter
2014-01-26,475.0,34.22,74.96000000000001,43.0,7.7,874.0,27.2,31.5,,39.0,9.5,2014,1,26,Sunday,Winter
2014-01-27,733.0,50.739999999999995,83.28,68.0,9.0,1060.0,39.1,47.1,,59.0,11.3,2014,1,27,Monday,Winter
2014-01-28,889.0,47.28,93.22,85.0,11.4,1103.0,27.7,32.0,,69.0,14.4,2014,1,28,Tuesday,Winter
2014-01-29,929.0,48.86,87.28,82.0,7.4,1248.0,35.4,42.9,,72.0,9.4,2014,1,29,Wednesday,Winter
2014-01-30,893.0,48.86,77.64000000000001,67.0,9.0,1105.0,35.4,43.9,,51.0,10.3,2014,1,30,Thursday,Winter
2014-01-31,1139.0,47.35999999999999,181.92000000000002,66.0,5.8,1311.0,63.1,101.6,,57.0,6.5,2014,1,31,Friday,Winter
2014-02-01,1400.0,34.1,110.75999999999999,117.0,8.2,1668.0,61.4,79.8,,96.0,8.2,2014,2,1,Saturday,Winter
2014-02-02,2261.0,54.220000000000006,132.24,140.0,6.4,2121.0,72.0,109.8,,111.0,8.0,2014,2,2,Sunday,Winter
2014-02-03,3453.0,51.32000000000001,252.66,248.0,7.4,3022.0,94.6,226.8,,186.0,7.0,2014,2,3,Monday,Winter
2014-02-04,1814.0,47.239999999999995,140.85999999999999,125.0,7.7,2096.0,58.3,112.2,,121.0,7.5,2014,2,4,Tuesday,Winter
2014-02-05,1699.0,51.32000000000001,133.32,128.0,8.7,1865.0,79.4,110.4,,110.0,10.3,2014,2,5,Wednesday,Winter
2014-02-06,1412.0,41.779999999999994,128.48,91.0,8.92,1208.0,50.1,64.4,,65.0,14.2,2014,2,6,Thursday,Winter
2014-02-07,959.0,44.480000000000004,89.78,62.0,13.780000000000001,700.0,29.9,35.7,45.1,38.0,19.4,2014,2,7,Friday,Winter
2014-02-08,938.0,45.4,101.4,45.0,7.92,640.0,25.9,31.5,34.8,31.0,11.3,2014,2,8,Saturday,Winter
2014-02-09,888.0,36.4,81.8,33.0,8.819999999999999,546.0,22.8,28.3,43.2,21.0,11.6,2014,2,9,Sunday,Winter
2014-02-10,620.0,31.4,67.6,18.0,2.7199999999999998,269.0,12.5,14.8,55.4,7.0,3.8,2014,2,10,Monday,Winter
2014-02-11,801.0,39.6,83.0,28.0,6.140000000000001,389.0,28.1,37.3,34.9,18.0,6.1,2014,2,11,Tuesday,Winter
2014-02-12,997.0,41.1,119.5,55.0,5.279999999999999,621.0,35.6,59.7,25.8,38.0,5.6,2014,2,12,Wednesday,Winter
2014-02-13,967.0,40.3,113.1,33.0,4.460000000000001,511.0,19.7,34.7,36.8,18.0,3.2,2014,2,13,Thursday,Winter
2014-02-14,797.0,33.0,68.0,29.0,6.1,490.0,22.9,28.7,36.6,19.0,4.2,2014,2,14,Friday,Winter
2014-02-15,1047.0,36.2,71.3,42.0,5.279999999999999,868.0,24.0,35.5,38.1,33.0,5.6,2014,2,15,Saturday,Winter
2014-02-16,1239.0,37.3,97.8,49.0,8.32,1116.0,22.6,50.9,52.5,45.0,7.7,2014,2,16,Sunday,Winter
2014-02-17,833.0,33.0,53.5,21.0,5.1,578.0,32.6,42.8,34.3,15.0,4.6,2014,2,17,Monday,Winter
2014-02-18,1075.0,45.5,113.3,40.0,5.28,760.0,25.4,48.0,39.2,29.0,7.5,2014,2,18,Tuesday,Winter
2014-02-19,1040.0,42.4,97.0,53.0,7.92,848.0,28.6,46.3,31.9,43.0,11.3,2014,2,19,Wednesday,Winter
2014-02-20,1308.0,40.5,112.3,55.0,4.82,1100.0,34.0,84.1,33.3,40.0,6.3,2014,2,20,Thursday,Winter
2014-02-21,778.0,33.0,73.0,51.0,13.7,1109.0,34.2,58.2,23.4,40.0,5.9,2014,2,21,Friday,Winter
2014-02-22,720.0,33.8,80.1,40.0,13.8,945.0,27.2,47.4,24.0,32.0,9.1,2014,2,22,Saturday,Winter
2014-02-23,322.0,13.4,19.8,20.0,11.9,564.0,16.5,22.4,47.6,16.0,5.7,2014,2,23,Sunday,Winter
2014-02-24,514.0,28.9,73.8,31.0,11.3,788.0,24.0,46.2,32.3,28.0,4.3,2014,2,24,Monday,Winter
2014-02-25,702.0,39.0,126.2,52.0,14.7,872.0,21.5,41.9,23.4,36.0,10.4,2014,2,25,Tuesday,Winter
2014-02-26,766.0,39.7,91.0,51.0,16.1,926.0,25.3,43.2,34.7,40.0,10.7,2014,2,26,Wednesday,Winter
2014-02-27,1073.0,48.4,127.1,75.0,12.0,1091.0,41.2,66.1,24.7,58.0,6.1,2014,2,27,Thursday,Winter
2014-02-28,720.0,48.9,102.8,53.0,13.5,710.0,26.3,35.1,47.1,43.0,11.8,2014,2,28,Friday,Winter
2014-03-01,740.0,38.8,68.1,45.0,14.6,644.0,21.6,28.0,62.5,36.0,12.9,2014,3,1,Saturday,Spring
2014-03-02,497.0,14.9,21.7,28.0,7.3,523.0,24.6,36.6,59.5,24.0,4.6,2014,3,2,Sunday,Spring
2014-03-03,579.0,34.4,69.7,28.0,6.9,490.0,26.1,32.6,45.3,19.0,6.3,2014,3,3,Monday,Spring
2014-03-04,607.0,28.7,64.2,23.0,4.7,551.0,25.5,35.1,37.9,20.0,3.9,2014,3,4,Tuesday,Spring
2014-03-05,508.0,15.2,32.8,20.0,4.6,464.0,17.1,29.2,28.4,18.0,4.2,2014,3,5,Wednesday,Spring
2014-03-06,447.0,13.0,27.8,17.0,8.1,560.0,14.7,24.1,30.9,17.0,4.1,2014,3,6,Thursday,Spring
2014-03-07,451.0,19.3,39.6,17.0,11.8,906.0,20.1,31.3,28.0,17.0,3.9,2014,3,7,Friday,Spring
2014-03-08,391.0,15.1,24.6,20.0,10.8,866.0,15.8,22.7,39.4,20.0,3.5,2014,3,8,Saturday,Spring
2014-03-09,349.0,11.4,17.1,21.0,9.8,795.0,29.3,43.7,47.5,19.0,3.0,2014,3,9,Sunday,Spring
2014-03-10,802.0,42.7,87.6,44.0,10.9,1157.0,36.4,67.1,54.2,37.0,3.7,2014,3,10,Monday,Spring
