Date,Station1_CO,Station1_NO2,Station1_NOx,Station1_PM10,Station1_SO2,Station2_CO,Station2_NO2,Station2_NOx,Station2_O3,Station2_PM10,Station2_SO2,temp,humidity,precip,precipcover,cloudcover,windspeed,visibility,is_heating_season,is_work_day,winddir_sin,winddir_cos
2014-01-01,1057.0,31.3,67.6,56.0,6.959999999999999,1121.0,19.9,27.5,9.3,42.0,8.5,1.7,91.5,0.0,0.0,58.3,7.3,2.6,1,1,0.9792228106217656,-0.2027872953565126
2014-01-02,1030.0,37.0,89.1,60.0,11.12,1212.0,25.9,44.4,9.9,52.0,13.5,2.9,83.0,0.0,0.0,60.4,10.9,6.4,1,1,0.6858183529273764,-0.7277727576572104
2014-01-03,1319.0,49.1,196.1,69.0,10.18,1292.0,26.3,60.5,7.5,56.0,12.6,3.7,82.9,0.0,0.0,61.5,14.3,11.0,1,1,0.0680152906652484,-0.9976842788356052
2014-01-04,1001.0,36.9,94.8,46.0,11.66,952.0,21.6,27.3,7.6,35.0,14.7,6.4,88.5,0.398,4.17,83.2,17.9,8.0,1,0,0.4320857488019821,-0.9018325264051138
2014-01-05,1155.0,37.3,102.6,39.0,9.32,1001.0,23.4,36.6,12.5,28.0,12.0,8.6,79.0,0.3,12.5,92.1,21.4,18.0,1,0,0.4368017883677022,-0.8995577789551803
2014-01-06,1624.0,49.6,204.2,65.0,8.819999999999999,1153.0,25.6,97.0,6.6,42.0,11.6,7.3,88.5,0.788,8.33,63.4,14.2,10.2,1,0,-0.3810703763502741,-0.9245460336123132
2014-01-07,1005.0,31.9,103.8,38.0,5.28,775.0,18.1,25.8,4.9,27.0,7.5,5.5,96.7,0.0,0.0,94.7,10.7,2.0,1,1,0.2419218955996677,-0.9702957262759964
2014-01-08,939.0,28.0,84.2,27.0,3.630814332247557,740.0,14.7,23.5,4.9,21.0,3.306286472148541,4.4,96.9,0.0,0.0,87.0,10.9,0.3,1,1,-0.3272178989791039,-0.9449489121575309
2014-01-09,708.0,29.8,80.1,23.0,3.630814332247557,776.0,13.8,18.1,4.9,19.0,3.306286472148541,3.5,96.5,0.099,8.33,98.1,14.3,3.3,1,1,0.3189593092980698,-0.9477684100095858
2014-01-10,430.0,29.4,85.0,17.0,3.630814332247557,767.0,12.9,17.6,4.9,15.0,3.306286472148541,3.1,92.5,0.0,0.0,62.7,25.1,3.3,1,1,-0.8396198645344132,-0.5431744499506707
2014-01-11,714.0,45.2,143.8,32.0,3.630814332247557,1238.0,26.3,49.7,4.9,39.0,3.306286472148541,2.0,90.4,0.0,0.0,68.9,14.5,11.6,1,0,-0.2940403252323039,-0.95579301479833
2014-01-12,304.0,17.8,30.7,17.0,3.630814332247557,686.0,11.3,14.8,4.9,12.0,3.306286472148541,3.8,73.9,0.098,4.17,31.4,28.8,20.5,1,0,-0.99888987496197,-0.0471064507096425
2014-01-13,1266.0,54.9,237.6,67.0,3.630814332247557,1427.0,27.7,73.3,4.9,49.0,3.306286472148541,0.3,77.5,0.0,0.0,57.1,21.6,20.3,1,0,-0.1942343512199716,-0.9809551553491916
2014-01-14,675.0,39.7,100.1,46.0,3.630814332247557,1091.0,27.5,35.3,4.9,33.0,3.306286472148541,3.7,66.8,0.0,0.0,57.9,14.4,20.1,1,1,0.9991228300988584,-0.0418756537291996
2014-01-15,704.0,40.1,132.0,36.0,3.630814332247557,1001.0,24.9,39.5,4.9,29.0,3.306286472148541,3.3,85.9,1.381,8.33,97.6,14.5,6.6,1,1,-0.4399391698559151,-0.8980275757606156
2014-01-16,781.0,36.8,126.2,38.0,3.630814332247557,1051.0,22.8,38.2,4.9,27.0,3.306286472148541,2.5,89.4,0.001,4.17,73.4,18.0,8.0,1,1,0.0261769483078734,-0.9996573249755571
2014-01-17,624.0,41.3,117.5,31.0,3.630814332247557,893.0,15.5,20.0,4.9,18.0,3.306286472148541,5.0,79.8,0.009,4.17,89.2,25.0,13.2,1,1,-0.0314107590781284,-0.9995065603657316
2014-01-18,718.0,44.6,113.7,29.0,8.9,1147.0,23.9,31.1,4.9,27.0,5.04,7.9,89.7,0.396,12.5,97.8,21.5,12.6,1,0,0.0888942968664414,-0.9960410654107696
2014-01-19,595.0,34.220000000000006,47.02,25.0,9.0,990.0,16.8,19.4,4.9,21.0,8.14,9.5,80.3,0.108,12.5,94.4,17.9,14.8,1,0,0.8110638189893266,-0.5849576749872155
2014-01-20,619.0,32.54,72.18,24.0,5.7,914.0,18.8,22.0,4.9,17.0,3.28,9.9,86.5,8.824,12.5,87.7,18.0,11.5,1,0,0.7922896433551907,-0.6101451639012676
2014-01-21,1033.0,50.32,82.46000000000001,42.0,6.4,1211.0,37.1,58.2,4.9,32.0,3.56,8.6,92.4,3.999,16.67,97.2,11.2,8.8,1,1,0.8668967489356029,-0.4984877397538302
2014-01-22,685.0,29.32,88.74,19.0,9.3,945.0,22.7,38.9,4.9,16.0,7.779999999999999,2.5,84.9,1.975,4.17,99.0,25.0,10.6,1,1,0.387515586452103,0.9218631515885004
2014-01-23,805.2,32.46,73.56,31.0,10.8,902.0,25.5,34.7,4.9,25.0,10.2,-2.5,78.3,0.423,4.17,96.8,17.8,6.8,1,1,0.47101188121941,0.8821268660176678
2014-01-24,813.2,28.74,70.74,39.0,6.3,817.0,26.5,43.2,4.9,31.0,4.3999999999999995,-3.2,75.4,0.0,0.0,92.2,28.6,9.3,1,1,0.605988400265711,0.7954734808548959
2014-01-25,289.0,42.68,66.74000000000001,27.0,7.1,553.0,21.7,30.8,4.9,29.0,9.3,-6.6,85.1,0.999,12.5,96.7,32.1,3.7,1,0,0.4786918579406068,0.8779829754279805
2014-01-26,475.0,34.22,74.96000000000001,43.0,7.7,874.0,27.2,31.5,4.9,39.0,9.5,-5.9,84.4,1.489,8.33,87.6,10.8,4.2,1,0,-0.4555449072335156,0.8902128046111265
2014-01-27,733.0,50.739999999999995,83.28,68.0,9.0,1060.0,39.1,47.1,4.9,59.0,11.3,-5.6,85.8,0.0,0.0,90.4,10.8,3.4,1,0,-0.9472102777460288,0.3206129905856762
2014-01-28,889.0,47.28,93.22,85.0,11.4,1103.0,27.7,32.0,4.9,69.0,14.4,-3.5,87.6,0.111,8.33,78.3,14.2,2.5,1,1,-0.300705799504273,-0.9537169507482268
2014-01-29,929.0,48.86,87.28,82.0,7.4,1248.0,35.4,42.9,4.9,72.0,9.4,-3.1,89.6,0.2,8.33,72.6,21.3,2.0,1,1,0.7847763705330829,0.6197790317951402
2014-01-30,893.0,48.86,77.64000000000001,67.0,9.0,1105.0,35.4,43.9,4.9,51.0,10.3,-0.8,86.0,0.297,4.17,78.0,21.5,6.7,1,1,0.9735789028731602,0.2283508701106558
2014-01-31,1139.0,47.35999999999999,181.92,66.0,5.8,1311.0,63.1,101.6,4.9,57.0,6.5,-0.8,77.5,0.0,0.0,57.6,14.2,6.9,1,1,0.6678325554710466,0.744311546231154
2014-02-01,1400.0,34.1,110.76,117.0,8.2,1668.0,61.4,79.8,4.9,96.0,8.2,-3.0,84.3,0.0,0.0,57.2,10.7,2.3,1,0,0.3826834323650898,0.9238795325112868
2014-02-02,2261.0,54.220000000000006,132.24,140.0,6.4,2121.0,72.0,109.8,4.9,111.0,8.0,-2.5,80.6,0.0,0.0,70.3,10.7,3.3,1,0,0.0697564737441253,0.9975640502598242
2014-02-03,3453.0,51.32000000000001,252.66,248.0,7.4,3022.0,94.6,226.8,4.9,186.0,7.0,-5.0,81.8,0.0,0.0,2.4,9.5,2.6,1,0,-0.3354515697502552,0.9420574527872966
2014-02-04,1814.0,47.239999999999995,140.86,125.0,7.7,2096.0,58.3,112.2,4.9,121.0,7.5,-6.6,85.9,0.0,0.0,2.7,11.0,3.7,1,1,0.3023698907504446,-0.9531906677929468
