month,,CO (ug/m3),NO2 (ug/m3),NOx (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),month
1,count,184.0,185.0,185.0,185.0,185.0,93.0,152.0,186.0
1,mean,593.1141304347826,20.21189189189189,34.689729729729734,31.045405405405404,25.63243243243243,22.0,3.564473684210526,1.0
1,std,222.76617410152264,10.05707998448536,23.6792987106155,12.326420588956074,14.223947467251007,11.35111563182036,2.068028715350639,0.0
1,min,96.0,5.2,7.9,5.5,7.0,7.0,0.8,1.0
1,25%,429.75,13.0,18.8,21.3,14.0,15.0,2.275,1.0
1,50%,587.0,17.6,25.9,31.6,21.0,18.0,3.1,1.0
1,75%,722.0,25.8,44.5,38.9,34.0,28.0,4.1,1.0
1,max,1481.0,58.3,162.7,65.7,73.0,66.0,12.7,1.0
2,count,129.0,141.0,141.0,141.0,139.0,84.0,113.0,141.0
2,mean,568.6899224806201,20.69503546099291,36.55531914893617,39.04255319148936,24.230215827338128,24.988095238095237,4.012389380530974,2.0
2,std,262.24701495112424,9.681206582425078,26.168278030393743,11.139397483337836,17.539734000082802,15.918840885044064,1.7268433599739788,0.0
2,min,93.0,4.9,7.8,15.7,6.0,8.0,1.4,2.0
2,25%,398.0,13.1,20.4,30.6,13.0,13.0,2.6,2.0
2,50%,531.0,19.9,27.8,39.1,19.0,20.5,3.7,2.0
2,75%,667.0,27.0,43.7,46.4,30.5,30.0,5.0,2.0
2,max,1493.0,48.0,142.9,63.4,105.0,79.0,9.9,2.0
3,count,150.0,151.0,151.0,155.0,155.0,93.0,124.0,155.0
3,mean,539.7466666666667,18.703973509933775,29.929139072847683,54.23806451612903,24.374193548387098,20.247311827956988,3.2766129032258062,3.0
3,std,210.8171123381262,9.431902464824383,20.70653870770929,12.185275716270228,13.613471358541444,9.662405760807658,1.5217720132529569,0.0
3,min,207.0,5.2,7.0,28.8,7.0,6.0,0.8,3.0
3,25%,393.0,10.8,15.2,45.15,14.0,13.0,2.2,3.0
3,50%,497.5,16.8,22.9,54.9,20.0,17.0,3.0,3.0
3,75%,636.0,25.55,39.45,63.5,32.0,25.0,4.4,3.0
3,max,1225.0,49.5,124.6,86.8,83.0,47.0,8.1,3.0
4,count,150.0,135.0,135.0,149.0,143.0,90.0,120.0,150.0
4,mean,523.0333333333333,16.94814814814815,23.402222222222225,62.25637583892618,21.573426573426573,12.933333333333334,3.3274999999999997,4.0
4,std,215.05315143432438,7.238762282384566,12.188595517799309,12.179609245427548,11.780557813671674,4.137523549612196,0.9936743206212912,0.0
4,min,218.0,6.0,8.3,30.0,6.0,5.0,1.8,4.0
4,25%,368.5,12.1,15.4,53.9,13.0,10.0,2.4,4.0
4,50%,459.0,14.8,19.3,62.3,18.0,12.0,3.25,4.0
4,75%,637.25,20.25,28.15,71.5,27.0,15.75,4.0,4.0
4,max,1116.0,47.3,75.6,93.9,57.0,26.0,6.2,4.0
5,count,149.0,148.0,148.0,149.0,153.0,87.0,143.0,155.0
5,mean,412.1744966442953,11.506756756756756,15.888513513513514,65.68456375838926,14.986928104575163,9.620689655172415,2.981118881118881,5.0
5,std,157.96958018587955,4.121713898882327,6.233151697837259,12.253916775002091,6.311004307540681,2.9303598449969948,1.0091797707601038,0.0
5,min,203.0,3.9,5.7,26.5,8.0,5.0,1.2,5.0
5,25%,301.0,8.4,11.475,57.7,11.0,7.0,2.2,5.0
5,50%,344.0,10.8,14.149999999999999,65.6,14.0,9.0,2.9,5.0
5,75%,511.0,14.15,19.6,74.1,18.0,12.0,3.8,5.0
5,max,836.0,23.4,36.9,90.7,70.0,19.0,6.6,5.0
6,count,147.0,148.0,148.0,147.0,150.0,90.0,150.0,150.0
