name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Debrecen,2020-09-01,22.6,14.2,18,22.6,14.2,18,14,77.9,10.993,100,25,rain,0,0.1,48.5,28.2,52.2,1008.2,53.1,9.9,120.7,10.5,5,,2020-09-01T05:52:27,2020-09-01T19:13:28,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-02,19.6,13.2,15.7,19.6,13.2,15.7,12.3,81.1,0,0,0,,0,0,27.7,15.4,178.8,1016.1,55.2,9.8,89.6,7.8,3,,2020-09-02T05:53:47,2020-09-02T19:11:30,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-03,22.6,12,17.2,22.6,12,17.2,12.7,77.1,0,0,0,,0,0,25.6,14.2,336.5,1020.3,68.3,10,150.2,12.8,5,,2020-09-03T05:55:07,2020-09-03T19:09:31,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-04,25.1,11.2,18.3,25.1,11.2,18.3,10.9,66.7,0,0,0,,0,0,28.8,18.5,313.5,1023,10,10.9,228,19.5,7,,2020-09-04T05:56:27,2020-09-04T19:07:31,0.57,Clear,Clear conditions throughout the day.,clear-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-05,27.5,11.2,19.4,27.3,11.2,19.4,12.6,68.3,0,0,0,,0,0,19.1,9.6,156.9,1019.8,6.4,11.3,223.4,19.4,7,,2020-09-05T05:57:48,2020-09-05T19:05:31,0.6,Clear,Clear conditions throughout the day.,clear-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-06,28.1,13.7,21.2,28.2,13.7,21.2,14.6,69,0,0,0,,0,0,20.2,16.6,55.9,1015.4,3.6,10.8,202.9,17.5,7,,2020-09-06T05:59:08,2020-09-06T19:03:31,0.64,Clear,Clear conditions throughout the day.,clear-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-07,26.9,15,20.2,27.4,15,20.3,14.8,72.4,0,0,0,,0,0,46.8,26.9,23.9,1016.9,13.7,9.7,197,17.2,7,,2020-09-07T06:00:28,2020-09-07T19:01:30,0.67,Clear,Clear conditions throughout the day.,clear-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-08,24.4,13.1,18,24.4,13.1,18,8.1,55,0.011,100,8.33,rain,0,0,36,17.8,0.3,1025.3,14.9,10.9,229.1,19.7,7,,2020-09-08T06:01:48,2020-09-08T18:59:29,0.7,Rain,Clear conditions throughout the day with early morning rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-09,26.6,8.4,17.6,26.6,7.4,17.6,9.1,62.6,0,0,0,,0,0,18,10.7,141.5,1024.8,0,11.3,223.8,19.3,7,,2020-09-09T06:03:08,2020-09-09T18:57:27,0.74,Clear,Clear conditions throughout the day.,clear-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-10,28,10.9,19.6,27.2,10.9,19.5,11.1,62.5,0,0,0,,0,0,25.2,18.6,28.3,1018,4.5,11.1,208,17.9,7,,2020-09-10T06:04:28,2020-09-10T18:55:25,0.75,Clear,Clear conditions throughout the day.,clear-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-11,27.4,15.5,21.4,27.1,15.5,21.4,13.6,64,0,0,0,,0,0,29.2,24.6,35.3,1016.7,20.1,10.1,211.5,18.4,7,,2020-09-11T06:05:48,2020-09-11T18:53:23,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-12,29.2,14.6,21.9,28.4,14.6,21.8,13.9,63.7,0,0,0,,0,0,17.6,14.3,15,1019.4,19.2,9.8,204,17.6,7,,2020-09-12T06:07:08,2020-09-12T18:51:21,0.83,Clear,Clear conditions throughout the day.,clear-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-13,29.2,15.8,22.6,28.6,15.8,22.5,14.3,62.5,0,0,0,,0,0,21.6,14.2,35.4,1024,9.5,10.8,186.4,16.4,7,,2020-09-13T06:08:28,2020-09-13T18:49:19,0.87,Clear,Clear conditions throughout the day.,clear-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-14,29.4,17.3,23.1,28.8,17.3,23,14.4,60.3,0,0,0,,0,0,30.6,24.6,30.1,1027.1,0.3,9.9,205.1,17.6,7,,2020-09-14T06:09:48,2020-09-14T18:47:16,0.9,Clear,Clear conditions throughout the day.,clear-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-15,30.4,15.8,23.2,30,15.8,23.1,15.1,63.2,0,0,0,,0,0,25.2,14.3,45.3,1024.6,1.7,10,200.6,17.4,7,,2020-09-15T06:11:09,2020-09-15T18:45:13,0.93,Clear,Clear conditions throughout the day.,clear-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-16,30.2,15.2,22.9,29.5,15.2,22.8,14.6,63.3,0,0,0,,0,0,18.4,10.6,48,1019.9,26.8,11.1,197.7,17.3,7,,2020-09-16T06:12:29,2020-09-16T18:43:10,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-17,28.2,15.6,21.1,28.4,15.6,21.2,14.7,69.3,0,0,0,,0,0,54,35.2,18.7,1017,52.3,10,140.8,12.1,5,,2020-09-17T06:13:49,2020-09-17T18:41:07,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-18,19.7,12.1,15.8,19.7,12.1,15.8,5.2,50.4,0,0,0,,0,0,50.4,32.8,12.9,1023,4.5,10,209.7,18.2,7,,2020-09-18T06:15:10,2020-09-18T18:39:04,0.03,Clear,Clear conditions throughout the day.,clear-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-19,22.4,9.1,15,22.4,6.9,14.8,5.8,56.6,0,0,0,,0,0,29.9,21.2,44,1023.3,19.4,9.8,201.5,17.4,7,,2020-09-19T06:16:31,2020-09-19T18:37:01,0.07,Clear,Clear conditions throughout the day.,clear-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-20,23.7,8.3,15.8,23.7,7.2,15.7,8.7,65.4,0,0,0,,0,0,25.2,10.6,61.3,1019.8,40.8,9.7,170.5,14.8,6,,2020-09-20T06:17:51,2020-09-20T18:34:58,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-21,25.7,9.4,17.6,25.7,8,17.6,9.7,63.8,0.001,100,4.17,rain,0,0,14,10.6,43,1019.7,3.4,10.9,194.3,16.9,7,,2020-09-21T06:19:12,2020-09-21T18:32:54,0.14,Rain,Clear conditions throughout the day with morning rain.,rain,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-22,27.2,9.4,18.6,26.7,8.3,18.5,9.9,61.5,0,0,0,,0,0,18,10.6,80.4,1017.6,1.4,9.8,193.2,16.5,7,,2020-09-22T06:20:33,2020-09-22T18:30:51,0.17,Clear,Clear conditions throughout the day.,clear-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-23,27.6,12.2,19.3,27.1,12.2,19.2,11.1,61.9,0.038,100,8.33,rain,0,0,26.6,18.4,120.1,1011.8,52.5,11.1,128.5,11.1,5,,2020-09-23T06:21:54,2020-09-23T18:28:48,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-24,26.1,15.6,19.7,26.1,15.6,19.7,13.8,70.7,0.888,100,12.5,rain,0,0,36,19.1,180,1010.4,47.6,10.7,146,12.7,6,,2020-09-24T06:23:15,2020-09-24T18:26:45,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-25,27.3,13.4,20,27.1,13.4,20,13.8,71.3,0.2,100,4.17,rain,0,0,55.4,32.1,147.1,1003.9,56.4,10.8,116.3,10.1,5,,2020-09-25T06:24:37,2020-09-25T18:24:43,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-26,19.4,10.7,16.2,19.4,10.7,16.2,13.4,83.7,10.951,100,29.17,rain,0,0,54,28.4,188.1,995.7,72.8,9.8,89,7.6,4,,2020-09-26T06:25:58,2020-09-26T18:22:40,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-27,16.7,7.7,11.3,16.7,5,10.4,6.7,75.8,0,0,0,,0,0,46.8,28.5,221.5,1007.8,47.8,10.6,136.3,11.6,6,,2020-09-27T06:27:20,2020-09-27T18:20:38,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-28,19,8.4,13.4,19,6.2,13.2,10.1,81.4,6.211,100,33.33,rain,0,0,39.6,24.7,76.7,1011.5,77.5,10,56.6,4.9,3,,2020-09-28T06:28:42,2020-09-28T18:18:36,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-29,15.8,10,12.6,15.8,10,12.6,11.2,91.5,3.349,100,4.17,rain,0,0,31,17.8,242.8,1012.6,85.6,6.2,92.5,8.1,4,,2020-09-29T06:30:04,2020-09-29T18:16:34,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-09-30,13.8,9.7,11.7,13.8,7.9,11.5,11.2,96.9,19.662,100,58.33,rain,0,0.1,32.4,15.2,247.2,1008.4,82.1,5.5,23.7,2,1,,2020-09-30T06:31:27,2020-09-30T18:14:32,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-01,15.1,11.4,13.3,15.1,11.4,13.3,12.4,94.5,8.923,100,41.67,rain,0,0.1,22,14.3,219.9,1004.9,77,6.1,22.4,2,1,,2020-10-01T06:32:49,2020-10-01T18:12:31,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-02,20.7,12.7,15.8,20.7,12.7,15.8,13,84.4,3.759,100,20.83,rain,0,0,29.9,20.1,177.1,1008.1,56,8.1,90.4,7.7,3,,2020-10-02T06:34:12,2020-10-02T18:10:30,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LHDC,LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-03,26.1,13.2,18.8,26.1,13.2,18.8,12.7,69.7,0,0,0,,0,0,44.6,31.5,131.1,1008.6,50.8,10.9,159.6,13.7,6,,2020-10-03T06:35:35,2020-10-03T18:08:29,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-04,24.3,13.2,19.2,24.3,13.2,19.2,12.8,68.7,0.218,100,12.5,rain,0,0,68.4,31.9,183.1,1008.2,46.3,9.8,128.7,11.1,5,,2020-10-04T06:36:59,2020-10-04T18:06:29,0.58,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-05,26,12.7,18,26,12.7,18,14.3,81.1,0.233,100,25,rain,0,0,58.3,28.5,165.8,1010.3,55.4,9.8,136.3,11.7,5,,2020-10-05T06:38:22,2020-10-05T18:04:30,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-06,20.2,12.4,15.3,20.2,12.4,15.3,12.6,85.1,0.687,100,8.33,rain,0,0,28.1,14.2,171.4,1013.6,51.6,9.4,141,12.1,6,,2020-10-06T06:39:46,2020-10-06T18:02:31,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-07,19.6,11.7,15.2,19.6,11.7,15.2,12.8,86.9,0.203,100,16.67,rain,0,0,35.3,14.5,143.1,1011.8,51.7,9.5,74.8,6.4,3,,2020-10-07T06:41:10,2020-10-07T18:00:32,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
