ID,Date,CO,NO2,NOx,O3,PM10,SO2,Year,Month,Month_anomaly_scores,Month_anomaly
0,2021-01-01,459.0,7.5,9.9,41.2,12.0,1.3,2021,1,0.0,1
1,2021-01-02,535.0,15.2,19.5,37.1,16.0,1.6,2021,1,0.0,1
2,2021-01-03,551.0,13.7,17.0,38.9,16.0,1.4,2021,1,0.0,1
3,2021-01-04,649.0,28.2,46.6,17.8,20.0,1.3,2021,1,0.0,1
4,2021-01-05,504.0,13.0,16.9,35.3,12.0,1.0,2021,1,0.0,1
5,2021-01-06,547.0,15.9,20.5,37.4,15.0,1.8,2021,1,0.0,1
6,2021-01-07,578.0,13.811972384559882,19.150422240259733,35.902500555954155,15.912271389639312,3.130862484303013,2021,1,0.0,1
7,2021-01-08,838.0,28.7,68.1,5.5,23.0,1.3,2021,1,0.0,1
8,2021-01-09,710.0,18.9,25.9,15.9,21.0,0.8,2021,1,0.0,1
9,2021-01-10,678.0,18.9,30.3,27.4,22.0,1.0,2021,1,0.0,1
10,2021-01-11,680.0,25.825069129294953,48.787298539893726,20.077233343628308,28.22547201621652,3.0251361957022733,2021,1,0.0,1
11,2021-01-12,526.0,10.5,16.1,22.5,26.0,1.9,2021,1,0.0,1
12,2021-01-13,484.0,16.7,25.3,33.5,20.0,2.2,2021,1,0.0,1
13,2021-01-14,426.0,21.8,32.0,33.3,14.0,2.2,2021,1,0.0,1
14,2021-01-15,458.0,23.6,32.4,30.4,14.0,2.6,2021,1,0.0,1
15,2021-01-16,489.0,21.8,30.6,42.3,19.0,3.2,2021,1,0.0,1
16,2021-01-17,555.0,14.2,18.8,43.3,24.0,3.1,2021,1,0.0,1
17,2021-01-18,555.0,18.6,25.7,42.0,29.0,3.2,2021,1,0.0,1
18,2021-01-19,641.0,15.9,21.6,36.8,29.0,4.1,2021,1,0.0,1
19,2021-01-20,587.0,11.3,15.9,50.6,17.0,6.9,2021,1,0.0,1
20,2021-01-21,480.0,6.2,9.2,63.5,9.0,9.0,2021,1,0.0,1
21,2021-01-22,480.0,5.2,7.9,65.7,8.0,5.2,2021,1,0.0,1
22,2021-01-23,592.0,10.7,14.9,57.7,14.0,3.4,2021,1,0.0,1
23,2021-01-24,683.0,10.5,15.8,45.1,14.0,3.4,2021,1,0.0,1
24,2021-01-25,663.0,18.8,25.4,34.6,13.0,2.9,2021,1,0.0,1
25,2021-01-26,1061.0,30.5,86.4,21.5,33.0,6.0,2021,1,0.0,1
26,2021-01-27,959.0,35.4,76.4,21.8,34.0,6.5,2021,1,0.0,1
27,2021-01-28,605.0,21.4,35.3,39.4,19.0,4.0,2021,1,0.0,1
28,2021-01-29,575.0,12.5,17.3,39.4,13.0,4.4,2021,1,0.0,1
29,2021-01-30,514.0,12.090006150793645,17.91165487776112,42.17602615465674,16.31564221337053,2.746607525877484,2021,1,0.0,1
30,2021-01-31,510.0,13.4,19.9,50.3,16.0,3.8,2021,1,0.0,1
31,2021-02-01,595.0,20.9,28.5,31.9,22.0,3.7,2021,2,0.024384342519180868,1
32,2021-02-02,600.0,16.37984933545381,25.200137036726666,41.467025533858866,19.27015965294944,4.0899774895528545,2021,2,0.024384342519180868,1
33,2021-02-03,576.0,11.3,15.5,38.1,20.0,7.7,2021,2,0.024384342519180868,1
34,2021-02-04,430.0,10.6,14.0,48.5,9.0,3.8,2021,2,0.024384342519180868,1
35,2021-02-05,650.0,27.5,51.6,15.7,23.0,4.2,2021,2,0.024384342519180868,1
36,2021-02-06,563.0,21.7,40.3,22.3,21.0,3.5,2021,2,0.024384342519180868,1
37,2021-02-07,561.0,14.120167050944225,22.322593055555544,36.182617373602014,15.586735515762673,3.6056816877361912,2021,2,0.024384342519180868,1
38,2021-02-08,501.0,16.3,26.1,21.2,15.0,3.6,2021,2,0.024384342519180868,1
39,2021-02-09,411.0,21.3,32.1,23.6,14.0,3.1,2021,2,0.024384342519180868,1
40,2021-02-10,502.0,19.7,27.1,20.9,18.0,3.4,2021,2,0.024384342519180868,1
41,2021-02-11,400.0,16.5,20.8,52.4,32.0,7.1,2021,2,0.024384342519180868,1
42,2021-02-12,281.0,15.211425559379972,22.826258732545174,51.812081055308845,28.622844656391717,4.2369943842870885,2021,2,0.024384342519180868,1
43,2021-02-13,313.0,21.7,27.2,57.0,17.0,5.7,2021,2,0.024384342519180868,1
44,2021-02-14,376.0,25.8,33.8,50.1,19.0,4.8,2021,2,0.024384342519180868,1
45,2021-02-15,443.0,30.4,38.5,48.2,23.0,5.0,2021,2,0.024384342519180868,1
46,2021-02-16,492.0,24.5,35.5,46.5,23.0,5.1,2021,2,0.024384342519180868,1
47,2021-02-17,434.0,19.0,23.5,46.4,23.0,9.9,2021,2,0.024384342519180868,1
48,2021-02-18,745.0,29.6,43.7,23.0,52.0,6.4,2021,2,0.024384342519180868,1
49,2021-02-19,629.0,23.9,30.7,34.3,26.0,6.7,2021,2,0.024384342519180868,1
50,2021-02-20,805.0,28.3,40.3,31.0,32.0,5.1,2021,2,0.024384342519180868,1
51,2021-02-21,705.0,19.3,24.8,39.9,25.0,5.6,2021,2,0.024384342519180868,1
52,2021-02-22,873.0,34.4,74.2,32.4,34.0,6.8,2021,2,0.024384342519180868,1
53,2021-02-23,778.0,35.4,53.8,34.1,34.0,8.4,2021,2,0.024384342519180868,1
54,2021-02-24,1137.0,41.5,105.1,28.0,59.0,5.0,2021,2,0.024384342519180868,1
55,2021-02-25,1214.0,37.2,111.0,29.1,81.0,2.6,2021,2,0.024384342519180868,1
56,2021-02-26,1197.0,38.97172281746032,108.08523829365086,25.57922173965699,66.3572123015873,4.110752038729189,2021,2,0.024384342519180868,1
57,2021-02-27,315.0,13.4,17.1,58.0,14.0,1.4,2021,2,0.024384342519180868,1
58,2021-02-28,348.0,15.405101332675347,20.190696624759763,43.30879676484367,13.878142722436483,2.3523544642244985,2021,2,0.024384342519180868,1
59,2021-03-01,322.0,16.4,22.6,43.1,11.0,0.8,2021,3,0.04846207522737156,1
60,2021-03-02,504.0,25.6,44.8,34.9,24.0,1.2,2021,3,0.04846207522737156,1
61,2021-03-03,614.0,23.5,48.6,37.8,34.0,1.3,2021,3,0.04846207522737156,1
62,2021-03-04,459.0,11.2,14.3,46.1,31.0,5.5,2021,3,0.04846207522737156,1
63,2021-03-05,397.0,13.2,16.8,42.1,19.0,1.0,2021,3,0.04846207522737156,1
64,2021-03-06,542.0,18.1,25.1,55.5,21.0,1.6,2021,3,0.04846207522737156,1
65,2021-03-07,441.0,9.1,12.4,54.3,14.0,1.0,2021,3,0.04846207522737156,1
66,2021-03-08,389.0,12.5,15.9,59.2,21.0,3.0,2021,3,0.04846207522737156,1
67,2021-03-09,331.0,15.1,18.2,66.2,15.0,1.4,2021,3,0.04846207522737156,1
68,2021-03-10,392.0,17.37326049015795,24.470519653353577,57.473317014434045,18.177257662721797,2.0819840072922475,2021,3,0.04846207522737156,1
69,2021-03-11,396.0,12.7,16.9,63.7,26.0,2.5,2021,3,0.04846207522737156,1
