,CO,NO2,NOx,O3,PM10,SO2
2024-01-01,759.79034,15.662874,45.485455,25.43508,27.641321,3.1110113
2024-01-02,726.34814,12.897941,23.871975,24.845213,24.41597,2.6190999
2024-01-03,571.2718,11.987401,21.69397,28.140821,18.60901,1.7149531
2024-01-04,571.91815,11.971219,23.268635,29.106272,13.757674,1.7067983
2024-01-05,566.3508,14.645178,31.590548,27.622133,15.1813965,1.5612508
2024-01-06,539.15924,11.2695,36.200714,25.094053,15.245311,1.1691939
2024-01-07,592.4066,10.968799,24.3183,27.156324,13.734065,1.2541434
2024-01-08,575.35895,15.166674,29.23365,26.895172,16.627594,1.409287
2024-01-09,576.0166,15.457396,27.973543,27.414995,15.462316,1.4589612
2024-01-10,494.60922,14.698183,33.1987,26.956226,17.633087,1.6081557
2024-01-11,334.43948,14.634708,31.284184,26.582909,17.737343,1.6357797
2024-01-12,331.1895,15.618856,23.434017,25.836449,17.305742,1.4361259
2024-01-13,418.69666,13.050869,15.248427,29.348396,19.506401,0.99185884
2024-01-14,413.79572,11.062624,11.679433,32.443527,14.805734,1.1969496
2024-01-15,352.09863,15.470151,24.171312,31.586384,20.407282,1.7521919
2024-01-16,331.14322,14.710886,23.644827,32.365,19.942205,1.6171368
2024-01-17,298.00894,12.321963,21.305592,33.299793,12.242706,1.7931474
2024-01-18,292.28238,11.952819,21.537945,33.155697,12.697923,1.3995818
2024-01-19,305.98355,11.364134,20.334223,32.759052,11.61578,1.46081
2024-01-20,307.16162,8.436216,12.608813,31.063019,8.842822,1.169321
2024-01-21,294.24103,7.0801,8.794579,33.328,8.62768,1.2369932
2024-01-22,339.3524,16.150866,30.349852,29.343632,14.511739,1.2566589
2024-01-23,379.96622,16.822805,34.474014,27.478844,16.256422,1.5422237
2024-01-24,408.75714,15.612768,31.127363,25.532469,18.554556,1.7099092
2024-01-25,412.0279,12.326613,26.50407,26.068075,20.887589,1.6305773
2024-01-26,400.491,13.087445,27.16919,27.929384,19.875954,1.6854758
2024-01-27,292.59814,7.5054545,8.167911,36.038742,15.1789,1.4498664
2024-01-28,255.5933,6.460511,8.351679,33.32603,10.344375,1.1488138
2024-01-29,279.99634,9.665976,15.851894,30.646082,12.311126,1.0433983
2024-01-30,210.31969,13.085152,20.609,32.82908,13.304573,1.2060145
2024-01-31,342.983,15.282742,37.280846,26.452919,14.15958,1.2234607
2024-02-01,538.8693,13.145342,23.060503,35.721027,16.675919,2.0871313
2024-02-02,570.62756,15.280835,26.785254,33.380287,17.665838,2.1333091
2024-02-03,498.99557,12.053184,22.185148,33.037872,12.935824,1.7525074
2024-02-04,489.34814,10.55993,20.316828,35.130085,13.911014,1.8425623
2024-02-05,541.12616,16.084253,21.149948,36.57138,17.046602,1.9205781
2024-02-06,497.48764,16.920647,26.435694,35.015564,16.254313,1.8269217
2024-02-07,531.34845,17.707779,28.839178,35.216442,17.876617,2.0784988
2024-02-08,622.07764,18.860142,37.24417,30.455877,24.86873,2.1665287
2024-02-09,615.56335,21.163893,47.4229,27.242146,30.932259,3.1169527
2024-02-10,591.0788,16.174501,37.024136,34.279278,25.708626,2.43054
2024-02-11,530.86884,17.529478,38.848766,35.758442,19.323528,2.386137
2024-02-12,502.11346,20.105423,40.099243,34.289276,19.594606,3.1879392
2024-02-13,514.01636,20.105423,43.553783,32.6875,25.72705,3.3070462
2024-02-14,563.6925,20.647594,48.106464,30.878906,29.009178,3.5236595
2024-02-15,621.9711,20.965107,47.543358,33.138866,29.689934,3.3285177
2024-02-16,659.99927,19.31676,44.445686,33.108086,32.734756,3.2243662
2024-02-17,645.9845,10.153632,30.564842,35.869843,19.501213,2.7464988
2024-02-18,531.6585,10.0159445,21.071993,38.199486,13.3313675,2.1568434
2024-02-19,550.6223,14.0859585,31.65814,36.7388,17.182804,2.4104745
2024-02-20,547.0493,14.684262,32.724083,35.230473,16.183285,2.4114103
2024-02-21,542.08966,14.907544,35.45912,33.837727,19.467001,2.5253632
2024-02-22,577.4565,19.945522,43.03893,32.34369,23.720436,2.7442129
